metric_id,issue_type,description,code_snippet,recommendation,response_id,dashboard_id
"source_system_record_count_by_source_system,total_actual_amount_by_year_and_source,total_actual_amount_by_source",Anti-Pattern|Hardcoded Logic,"All three metrics on this dashboard (`Record Count by Source System`, `Total Actual Amount by Fiscal Year and Source System`, `Total Actual Amount by Source System`) contain an almost identical nested subquery named `OSandFACT`. This subquery performs common joins (e.g., with `v_asl_DIM_os_publication_hierachy`, `v_asl_DIM_calendar`, `v_asl_DIM_gl_department`) and applies a hardcoded filter (`control.period_name IN ('CP', 'PY')`) to define 'active fiscal periods'. This repeated SQL logic violates the DRY (Don't Repeat Yourself) principle, leading to redundancy, increased complexity, and potential inconsistencies if the base logic or period definitions need to change across multiple metrics.","WITH OSandFACT AS (
    SELECT
      os.source_system_name,
      CAST(os.fiscal_week_id AS INT) AS fiscal_week_id,
      os.gl_publication_code,
      os.os_level_12
    FROM
      `ncau-data-newsquery-prd.asl_finance.v_asl_FCT_finance_os_aggregated` AS os
      LEFT JOIN `ncau-data-newsquery-prd.asl_finance.v_asl_DIM_os_publication_hierachy` AS pub ON os.gl_publication_code = pub.publication_code
      LEFT JOIN (
        SELECT DISTINCT
          CAST(c.fy_year_week_number AS INT) AS fy_year_week_number
        FROM `ncau-data-newsquery-prd.asl_finance.v_asl_DIM_calendar` AS c
        JOIN `ncau-data-newsquery-prd`.asl_finance.v_asl_DIM_period_control AS control ON control.source_week_number = c.fy_year_week_number AND control.period_name IN ('CP', 'PY')
      ) AS calendar ON os.fiscal_week_id = calendar.fy_year_week_number
      LEFT JOIN `ncau-data-newsquery-prd`.asl_finance.v_asl_DIM_gl_department AS dep ON os.os_level_12 = dep.department_code
  )","To improve maintainability and enforce consistency, encapsulate this common join and filtering logic into a dedicated BigQuery view (e.g., `v_asl_FCT_finance_os_aggregated_active_periods`). All metrics can then query this consolidated view, reducing redundancy and simplifying future updates. If using LookerML, define a base view or explore that includes these joins and filters, allowing metrics to be built on top of this consolidated definition.",11,d7412673-0af1-4efe-8374-ca475b001fb6
multiple,Hardcoded Logic / Anti-Pattern,"The dashboard heavily relies on hardcoded values within the SQL logic for multiple key filters, including fiscal year ('FY2025'), fiscal week ('40'), OS Level 4 ('Total Revenue', 'Total Expenses'), and L03 Publication Code ('News Media Publishing'). This pattern is repeated across all Actual, Budget, and Forecast metrics, leading to significant code duplication and making the dashboard inflexible for analyzing different periods or business segments without manual SQL modifications. For instance, if the business needs to view data for FY2026 or Week 41, every single relevant metric's SQL would need to be updated.","WHERE
  SAFE_CAST(dep.gl_hierarchy_code AS STRING) = 'FY2025'
  AND SAFE_CAST(os.os_level_4 AS STRING) IN ('Total Revenue', 'Total Expenses')
  AND SAFE_CAST(pub.l03_publication_code AS STRING) = 'News Media Publishing'
  AND SAFE_CAST(calendar.fy_week_of_year AS INT) = 40","Parameterize these common filters (Fiscal Year, Fiscal Week, OS Level 4, L03 Publication Code) at the Looker Studio dashboard level. This would allow users to dynamically select these values, making the dashboard reusable across different periods and business contexts without requiring changes to the underlying metric SQL. Consider creating a single base metric for 'Amount' and applying filters via Looker Studio controls.",12,b1c5901f-a535-42eb-870d-05cc025f7c27
"actual_amount_fy25_total_rev_exp_news_media_wk40_circ_sub_cont_lic_by_dims, budget_amount_fy25_total_rev_exp_news_media_wk40_circ_sub_cont_lic_by_dims, forecast_amount_fy25_total_rev_exp_news_media_wk40_circ_sub_cont_lic_by_dims",Hardcoded Logic / Anti-Pattern,"Specific metrics are created to include additional hardcoded filters on `os_level_6` (e.g., 'Circulation', 'Subscription', 'Content Licensing'). This further fragments the data model and creates highly specific, less reusable metrics. If other `os_level_6` categories need to be analyzed, or if the combination changes, new metrics would be required.","AND SAFE_CAST(os.os_level_6 AS STRING) IN ('Circulation', 'Subscription', 'Content Licensing')","Instead of hardcoding `os_level_6` filters into separate metrics, expose `os_level_6` as a dimension in the dashboard. Users can then apply filters or create custom tables/charts to analyze specific categories or combinations of `os_level_6` values using a single, more generalized base metric.",12,b1c5901f-a535-42eb-870d-05cc025f7c27
"fiscal_year_wk40_41_dimension, fiscal_year_wk40_dimension",Redundancy / Anti-Pattern,"Two distinct dimension metrics exist for 'Fiscal Year', differing only by the specific fiscal week filter (Week 40 vs. Weeks 40 or 41). This is an unnecessary duplication of logic for a dimension that could be handled more flexibly.","fiscal_year_wk40_41_dimension: WHERE SAFE_CAST(calendar.fy_week_of_year AS INT) IN (40, 41)
fiscal_year_wk40_dimension: WHERE SAFE_CAST(calendar.fy_week_of_year AS INT) = 40","Create a single, general 'Fiscal Year' dimension without specific week filters. Allow users to select fiscal weeks using a filter control in Looker Studio. This provides greater flexibility and reduces metric clutter.",12,b1c5901f-a535-42eb-870d-05cc025f7c27
multiple,Data Type Inconsistency (Minor Anti-Pattern),"Frequent use of `SAFE_CAST` for dimension columns (e.g., `fy_week_of_year AS INT`, `is_print_digital_flag AS STRING`, `os_level_6 AS STRING`) suggests potential inconsistencies in the underlying view data types or a design choice that might not be optimal. While `SAFE_CAST` prevents errors, it can mask upstream data quality issues or lead to less efficient queries if the casting is not truly necessary.","SAFE_CAST(calendar.fy_week_of_year AS INT) AS fy_week_of_year,
SAFE_CAST(pub.is_print_digital_flag AS STRING) AS is_print_digital_flag,
SAFE_CAST(os.os_level_6 AS STRING) AS os_level_6","Review the data types defined in the source views (`v_asl_FCT_finance_os_aggregated`, `v_asl_DIM_os_publication_hierachy`, `v_asl_DIM_calendar`, `v_asl_DIM_gl_department`). Ensure that columns are stored with their most appropriate data types (e.g., `INT` for `fy_week_of_year`, `BOOLEAN` or `STRING` if `is_print_digital_flag` is truly a flag). This can improve query performance and data integrity by reducing unnecessary casting at the query level.",12,b1c5901f-a535-42eb-870d-05cc025f7c27
"All measure metrics (e.g., total_records_digital_b2c_aus_2025) and dimension metrics (e.g., delivery_medium_type_category, masthead_group_level1, masthead_group_level2, sold_in_source_code_category, business_segment_category)",Hardcoded Logic|Anti-Pattern,"Identical, complex `CASE` statements are repeatedly embedded within the CTEs of all five measure metrics and also defined as standalone dimension metrics. This duplication for `subscription_type_category`, `masthead_category_level1`, `masthead_category_level2`, `acquisition_source_category`, and `business_segment_category` creates a significant maintenance burden and increases the risk of inconsistencies if logic needs to be updated.","WITH pre_calculated_dims AS (
    SELECT
        t0.fy_year,
        t0.table_nm,
        t0.masthead,
        t0.sold_in_source_code,
        t0.delivery_medium_type,
        t0.subscriber_has_email_flag,
        t0.classification_level_2,
        -- Subscription Type Category
        CASE WHEN (CONCAT(SAFE_CAST(t0.delivery_medium_type AS STRING),' ',SAFE_CAST(t0.subscriber_has_email_flag AS STRING)) IN ('Digital Y', 'Digital N', 'Bundle Y', 'Not Available Y')) THEN 'Digital Subscriptions' ELSE 'Print Subscriptions' END AS subscription_type_category,
        -- Masthead Category Level 1
        CASE
            WHEN t0.masthead = 'TA' THEN 'The Australian'
            WHEN t0.masthead IN ('CM', 'DT', 'HS', 'AA') THEN 'Metro'
            -- ... (rest of masthead_category_level1 logic) ...
        END AS masthead_category_level1,
        -- Masthead Category Level 2
        CASE
            WHEN t0.masthead IN ('CM', 'DT', 'HS', 'AA', 'CP', 'GA', 'GC', 'NT', 'TM', 'TB', 'TC', 'WT', 'CS', 'AP', 'SC') THEN 'States and Community'
            -- ... (rest of masthead_category_level2 logic) ...
        END AS masthead_category_level2,
        -- Acquisition Source Category
        CASE
            WHEN (STRPOS(SAFE.RIGHT(LTRIM(RTRIM(SAFE_CAST(t0.sold_in_source_code AS STRING))), 3), '_AB') > 0) THEN 'Above the Fold'
            -- ... (many more WHEN clauses) ...
            ELSE NULL
        END AS acquisition_source_category,
        -- Business Segment Category
        CASE
            WHEN t0.classification_level_2 IN ('Consumer', 'Gift Receiver') THEN 'B2C'
            -- ... (rest of business_segment_category logic) ...
        END AS business_segment_category
    FROM
        `ncau-data-newsquery-prd.asl_finance_derived.acquisitions_cancellations_movements` AS t0
)","Extract these common dimension categorizations into a dedicated BigQuery view or a centralized Looker Studio data source. This promotes reusability, simplifies maintenance, and ensures consistency across all dependent metrics. Ideally, these categorizations should be managed as a dimension table in the underlying data warehouse.",13,4d22b4c2-4bb3-49db-a0c1-4d46d4fba101
"All measure metrics (e.g., total_records_digital_b2c_aus_2025) and sold_in_source_code_category",Data Mismatch|Data Exclusion|Hardcoded Logic,"The `acquisition_source_category` `CASE` statement attempts to categorize `sold_in_source_code` values. However, the `structure_sql` indicates there are 5845 unique `sold_in_source_code` values, while the `CASE` statement only explicitly covers a very small, hardcoded subset. Any `sold_in_source_code` not matching these specific patterns defaults to `NULL`. Crucially, the `WHERE` clause for all measure metrics then filters out `pre_calculated_dims.acquisition_source_category IS NOT NULL`, leading to the exclusion of a vast majority of records from the dashboard's calculations. This results in an incomplete and potentially misleading representation of acquisition data.","        -- Acquisition Source Category
        CASE
            WHEN (STRPOS(SAFE.RIGHT(LTRIM(RTRIM(SAFE_CAST(t0.sold_in_source_code AS STRING))), 3), '_AB') > 0) THEN 'Above the Fold'
            WHEN (STRPOS(SAFE.RIGHT(LTRIM(RTRIM(SAFE_CAST(t0.sold_in_source_code AS STRING))), 3), '_BB') > 0) THEN 'Blackbook'
            -- ... (many more WHEN clauses) ...
            WHEN (STRPOS(LTRIM(RTRIM(SAFE_CAST(t0.sold_in_source_code AS STRING))), '_TWT') > 0) THEN 'Twitter'
            ELSE NULL
        END AS acquisition_source_category
...
WHERE
    pre_calculated_dims.acquisition_source_category IS NOT NULL",Develop a comprehensive lookup table in the data warehouse that maps all relevant `sold_in_source_code` values to their respective `acquisition_source_category`. This table should be joined to the `acquisitions_cancellations_movements` table. Re-evaluate the necessity and impact of the `acquisition_source_category IS NOT NULL` filter to ensure all relevant data is included or explicitly handled.,13,4d22b4c2-4bb3-49db-a0c1-4d46d4fba101
product_group_category,Anti-Pattern|Hardcoded Logic|Complexity,"The `product_group_category` metric's SQL logic is excessively complex, featuring deeply nested `CASE` statements and reliance on an intermediate, derived `clmn30_value`. This makes the logic extremely difficult to read, understand, debug, and maintain. The `ELSE 'Check for New Products'` clause indicates an incomplete mapping, requiring manual intervention for new product types.","SELECT
    CASE
        WHEN (
            (clmn30_value = 'Bundle 7 Day') OR (clmn30_value = 'Bundle 7 day and Other') OR (clmn30_value = 'Bundle Only') OR (clmn30_value = 'Bundle Weekend') OR (clmn30_value = 'Bundle Weekend Only') OR (clmn30_value = 'Digital') OR (clmn30_value = 'Digital Only') OR (clmn30_value = 'Essentials') OR (clmn30_value = 'Print 7 Day') OR (clmn30_value = 'Print 7 day and Other') OR (clmn30_value = 'Print Weekend') OR (clmn30_value = 'Print Weekend Only') OR (clmn30_value = '3rd Party and Others') OR (clmn30_value = '3rd Party and Other')
        ) THEN 'Core Consumer'
        -- ... (rest of the complex logic) ...
        ELSE 'Check for New Products'
    END AS product_group_category
FROM (
    SELECT
        t0.budfor_product,
        -- ... (intermediate clmn30_value calculation) ...
    FROM `ncau-data-newsquery-prd.asl_finance_derived.acquisitions_cancellations_movements` AS t0
)","Refactor this complex product categorization logic. The ideal solution is to pre-calculate and store these product groups in the data warehouse, potentially using a dedicated product dimension table. If this is not feasible, break down the logic into multiple, simpler, and more manageable custom fields or views within Looker Studio to improve readability and maintainability.",13,4d22b4c2-4bb3-49db-a0c1-4d46d4fba101
N/A (applies to all metrics),Anti-Pattern,"All 6 metrics on the dashboard repeat the same base filtering logic (`financial_year IS NOT NULL`, `source_publishing_division != 'Medium Rare Content Agency'`, `revenue_transaction_status IN ('Billed', 'Booked')`). This creates significant redundancy, increases the risk of errors, and makes global filter changes difficult across the dashboard.","t0.financial_year IS NOT NULL AND t0.source_publishing_division != 'Medium Rare Content Agency' AND t0.revenue_transaction_status IN ('Billed', 'Booked')","Encapsulate these common filters in a base view or a Looker Studio data source filter. Alternatively, define these as reusable parameters or calculated fields at the data source level to ensure consistency and ease of maintenance.",14,705edcb5-737a-4600-b1a7-11870177f97a
"advertiser_name_2024_calendar_year, data_load_datetime_2025_oct_financial, programmatic_gross_revenue_by_cost_model_fy_fm, cost_model_type_2025_fy, programmatic_gross_revenue_foxtel_2025_fy",Hardcoded Logic,"Multiple metrics hardcode specific financial years (e.g., '2025') or calendar years (e.g., '2024'). This makes the dashboard static and requires manual updates annually, leading to high maintenance overhead and potential for outdated data if not regularly updated.",t0.calendar_year IN ('2024') (for advertiser_name_2024_calendar_year); t0.financial_year IN ('2025') (for others),"Implement dynamic date filtering using Looker Studio parameters or BigQuery's date functions (e.g., `EXTRACT(YEAR FROM CURRENT_DATE())` for current year, or relative date logic) to ensure metrics automatically update for the current period.",14,705edcb5-737a-4600-b1a7-11870177f97a
"programmatic_gross_revenue_by_cost_model_fy_fm, programmatic_gross_revenue_foxtel_2025_fy",Hardcoded Logic,"High-criticality revenue metrics hardcode specific values for `revenue_type_level2`, `revenue_group_subtype`, `source_system_code`, `cost_model_type`, and even a specific `advertiser_name`. This limits the reusability of these metrics and makes it difficult to analyze performance across different segments without creating new, redundant metrics.","t0.revenue_type_level2 = 'Programmatic' AND t0.revenue_group_subtype IN ('Programmatic Source', 'Digital') AND t0.source_system_code = 'PLUTO' (common to both); t0.cost_model_type IN ('PMP', 'Non-Guaranteed') (for programmatic_gross_revenue_by_cost_model_fy_fm); t0.advertiser_name = 'Foxtel Management Pty Ltd' (for programmatic_gross_revenue_foxtel_2025_fy)","Define these business rules as reusable calculated fields or parameters in the Looker Studio data source. For complex categorizations, consider creating a lookup table in BigQuery and joining to it, or a dedicated view that pre-classifies these attributes, allowing for dynamic filtering via dashboard controls.",14,705edcb5-737a-4600-b1a7-11870177f97a
programmatic_gross_revenue_by_cost_model_fy_fm,Anti-Pattern,"The `financial_month` column is cast to `FLOAT64` using `SAFE_CAST`. This is an unusual data type for a month and might indicate underlying data quality issues or an attempt to handle mixed types. Casting to `INT64` would typically be more appropriate for numerical month representation, or keeping it as a string if it represents month names.",SAFE_CAST(t0.financial_month AS FLOAT64) AS financial_month_float,"Investigate the actual data type and values of `t0.financial_month` in the `v_adsales_revenue_client` table. If it contains non-numeric values, consider data cleansing or a more robust conversion strategy. If it's numeric, `CAST(t0.financial_month AS INT64)` or keeping it as a string for grouping might be more suitable.",14,705edcb5-737a-4600-b1a7-11870177f97a
meas_gross_revenue_amount_previous_fy_date_condition,Hardcoded Logic,"This critical revenue metric uses a hardcoded `TIMESTAMP '2025-01-06...'` to define a date condition. This makes the metric static and quickly outdated, severely impacting the dashboard's relevance for current financial analysis and historical comparisons. The dashboard name 'FY25' further highlights this as a critical oversight for a 'Final_Draft' dashboard intended for ongoing use.","DATETIME_ADD(DATE(TIMESTAMP '2025-01-06 02:37:12.747676+00', 'UTC'), INTERVAL -365 DAY)","Replace the hardcoded timestamp with a dynamic date reference (e.g., `CURRENT_TIMESTAMP()`, `CURRENT_DATE()`, or a configurable Looker Studio parameter) to ensure the metric always reflects the current period's context. This is crucial for the dashboard's ongoing utility.",15,4d8074b2-17a8-48ba-babe-c536359b1f64
meas_gross_revenue_amount_previous_fy_date_condition_k,Hardcoded Logic,"Similar to its non-K counterpart, this critical revenue metric also uses a hardcoded `TIMESTAMP '2025-01-06...'` for its date condition, leading to the same issues of static and outdated data.","DATETIME_ADD(DATE(TIMESTAMP '2025-01-06 02:37:12.747676+00', 'UTC'), INTERVAL -365 DAY)","Implement dynamic date referencing (e.g., `CURRENT_TIMESTAMP()`, `CURRENT_DATE()`, or a Looker Studio parameter) to ensure the metric remains current and accurate for financial reporting.",15,4d8074b2-17a8-48ba-babe-c536359b1f64
dim_financial_short_month_mapped,Anti-Pattern,"The financial month mapping uses a lengthy and hardcoded `CASE` statement to assign sortable prefixes (e.g., '1.Jul', '2.Aug'). While functional, this approach is inflexible and prone to errors if the financial year start changes or new month naming conventions are introduced, requiring manual updates across all instances.",CASE WHEN t0.financial_short_month = 'Jul' THEN '1.Jul' WHEN t0.financial_short_month = 'Aug' THEN '2.Aug' WHEN t0.financial_short_month = 'Sep' THEN '3.Sep' WHEN t0.financial_short_month = 'Oct' THEN '4.Oct' WHEN t0.financial_short_month = 'Nov' THEN '5.Nov' WHEN t0.financial_short_month = 'Dec' THEN '6.Dec' WHEN t0.financial_short_month = 'Jan' THEN '7.Jan' WHEN t0.financial_short_month = 'Feb' THEN '8.Feb' WHEN t0.financial_short_month = 'Mar' THEN '9.Mar' WHEN t0.financial_short_month = 'Apr' THEN '10.Apr' WHEN t0.financial_short_month = 'May' THEN '11.May' WHEN t0.financial_short_month = 'Jun' THEN '12.Jun' ELSE NULL END,"Consider using a dedicated date dimension table that includes financial year, quarter, and month mappings. This centralizes the logic and improves maintainability. Alternatively, explore more dynamic SQL functions (e.g., a UDF or a more complex `FORMAT_DATE` with `MOD` logic) if the financial year start is fixed and consistent.",15,4d8074b2-17a8-48ba-babe-c536359b1f64
meas_gross_revenue_amount_previous_fy_date_condition,Anti-Pattern,"Within the date condition, a complex nested `CASE` statement selects between `t0.fix_date_lod` and `t0.booking_line_created_date` based on multiple specific conditions (`revenue_type`, `revenue_group_subtype`, `sales_segment_l_2_name_sync`, `advertiser_parent`). This makes the logic difficult to understand, debug, and maintain, and obscures the business rule it represents.","CASE WHEN (t0.revenue_type = 'DIGITAL' AND t0.revenue_group_subtype = 'DIGITAL' AND t0.sales_segment_l_2_name_sync = 'Digital Other' AND t0.advertiser_parent != 'DOUBLECLICK') THEN t0.fix_date_lod ELSE PARSE_DATE('%Y-%m-%d', t0.booking_line_created_date) END","Encapsulate this complex date selection logic into a dedicated view or a calculated column in the underlying `adsales_performance` table, named descriptively (e.g., `effective_booking_date`). This would centralize the logic, improve readability, and simplify metric definitions.",15,4d8074b2-17a8-48ba-babe-c536359b1f64
meas_ss_lgb_current_fy_zero_week_offset_derived,Data Model Ambiguity,"The metric's calculation `(t0.ss_lgb * t0.DOW_Today) / 7` relies on a column named `t0.DOW_Today`. The naming 'DOW_Today' suggests a dynamic 'Day of Week Today' value, which could lead to inconsistent results depending on when the query is executed or if dashboard caching is in effect. If it's a static column representing the day of week for the record's date, the naming is misleading.","SAFE_DIVIDE((t0.ss_lgb * t0.DOW_Today), 7)","Clarify the definition and update mechanism of `t0.DOW_Today`. If it's intended to be dynamic, ensure caching strategies in Looker Studio are understood, or consider calculating this dynamically within the dashboard using Looker Studio's date functions. If it's a static attribute, rename it for clarity (e.g., `record_day_of_week`) to avoid confusion and ensure predictable behavior.",15,4d8074b2-17a8-48ba-babe-c536359b1f64
gross_revenue_programmatic_tubi_total_current_fy,Hardcoded Logic|Anti-Pattern,"Multiple metrics, including 'Programmatic/Tubi Gross Revenue', rely on an identical, repeated `CASE` statement within their SQL logic to define 'revenue_category'. This `CASE` statement explicitly maps 'TUBI', 'PG', 'OMP', 'PMP', and 'PERFORMANCE' based on 'unified_publication_name' and 'cost_model_type'. However, the `business_rules_sql` sample data shows a 'revenue_category' of 'Other' accounting for over 5 million records (a majority of the dataset). Since the `CASE` statement uses `ELSE NULL`, these 'Other' records are effectively assigned a `NULL` 'revenue_category' by the metric's SQL, leading to their exclusion from category-specific aggregations or misrepresentation. This indicates the hardcoded logic is incomplete and not aligned with the full spectrum of revenue categories present in the underlying data.","WITH base_data AS (
    SELECT
        t0.gross_revenue_amount,
        t0.relative_fy_year_offset,
        t0.revenue_group_subtype,
        t0.unified_publication_name,
        CASE
            WHEN (t0.unified_publication_name = 'TUBI') THEN 'TUBI'
            WHEN (UPPER(SAFE_CAST(t0.cost_model_type AS STRING)) = 'GUARANTEED') THEN 'PG'
            WHEN (UPPER(SAFE_CAST(t0.cost_model_type AS STRING)) = 'NON-GUARANTEED') THEN 'OMP'
            WHEN (UPPER(SAFE_CAST(t0.cost_model_type AS STRING)) = 'PMP') THEN 'PMP'
            WHEN (t0.unified_publication_name = 'Run of Audience Extension') THEN 'PERFORMANCE'
            ELSE NULL
        END AS revenue_category
    FROM `ncau-data-newsquery-prd.asl_finance_derived.details_dashboard` AS t0
)
SELECT SUM(gross_revenue_amount) FROM base_data WHERE relative_fy_year_offset = 0 AND (revenue_category IN ('TUBI', 'PERFORMANCE') OR revenue_group_subtype = 'PROGRAMMATIC SOURCE')","Replace the hardcoded `CASE` statement with a join to a centralized, governed lookup table for 'revenue_category'. This table should comprehensively map all possible combinations of 'unified_publication_name' and 'cost_model_type' to their correct revenue categories, including the 'Other' category identified. Alternatively, create a persistent derived table or view in BigQuery that pre-calculates and stores the 'revenue_category' to ensure consistency and simplify metric definitions across the dashboard.",16,5491badf-5ec0-4b4f-a427-b12a3a3395dd
gross_revenue_pmp_current_fy,Hardcoded Logic|Anti-Pattern,"Similar to other category-specific metrics, 'PMP Gross Revenue' uses the same hardcoded `CASE` statement to define 'revenue_category'. The `business_rules_sql` indicates a large volume of data (over 5 million records) falls into an 'Other' category, which the `CASE` statement assigns as `NULL`. This means that PMP revenue might be understated if any PMP-related transactions are being miscategorized or falling into the 'Other' bucket due to the incomplete `CASE` logic. The current implementation risks excluding relevant data from PMP calculations.","WITH base_data AS (
    SELECT
        t0.gross_revenue_amount,
        t0.relative_fy_year_offset,
        t0.unified_publication_name,
        CASE
            WHEN (t0.unified_publication_name = 'TUBI') THEN 'TUBI'
            WHEN (UPPER(SAFE_CAST(t0.cost_model_type AS STRING)) = 'GUARANTEED') THEN 'PG'
            WHEN (UPPER(SAFE_CAST(t0.cost_model_type AS STRING)) = 'NON-GUARANTEED') THEN 'OMP'
            WHEN (UPPER(SAFE_CAST(t0.cost_model_type AS STRING)) = 'PMP') THEN 'PMP'
            WHEN (t0.unified_publication_name = 'Run of Audience Extension') THEN 'PERFORMANCE'
            ELSE NULL
        END AS revenue_category
    FROM `ncau-data-newsquery-prd.asl_finance_derived.details_dashboard` AS t0
)
SELECT SUM(gross_revenue_amount) FROM base_data WHERE relative_fy_year_offset = 0 AND revenue_category = 'PMP'","Implement a centralized 'revenue_category' definition, ideally as a lookup table or a pre-calculated field in the base data model. This will ensure all revenue categories are consistently and accurately assigned, preventing data loss or miscategorization for PMP and other specific revenue types. Review the 'Other' category to determine if any of its components should be reclassified into existing or new specific revenue categories.",16,5491badf-5ec0-4b4f-a427-b12a3a3395dd
all_metrics,Anti-Pattern,"The `SFCE_USER` Common Table Expression (CTE) is duplicated across all five metrics in the dashboard. This leads to redundant code, increased maintenance overhead, and potential performance inefficiencies as the same subquery is executed multiple times for each metric.","WITH
  SFCE_USER AS (
    SELECT
      TEMP1.network_user_name AS login_name,
      TEMP1.user_name AS full_name
    FROM
      (
        SELECT
          UPPER(network_user_name) AS network_user_name,
          UPPER(user_name) AS user_name,
          ROW_NUMBER() OVER (PARTITION BY UPPER(network_user_name)) AS RN
        FROM
          `ncau-data-newsquery-prd`.prstn_advertising_views.v_user_dim
        WHERE
          dw_source_system_code = 'SFCE'
      ) AS TEMP1
    WHERE
      TEMP1.RN = 1
  )","Extract the `SFCE_USER` CTE into a dedicated, governed view (e.g., `prstn_advertising_views.v_sfce_user_dim`) or a shared dimension table. This view can then be joined by all metrics, promoting reusability, consistency, and potentially improving query performance through caching or optimized execution plans.",17,8956e94b-f6d1-46a3-9c7f-87a91fbe98b5
all_metrics,Hardcoded Logic,"All metrics share an identical and complex `WHERE` clause containing multiple hardcoded filters (`relative_fy_year_offset`, `revenue_transaction_status`, `style_name`, `source_publishing_division`, `publication_name` with specific account numbers). This extensive duplication makes updates difficult, error-prone, and obscures the core business logic of each metric, violating the DRY (Don't Repeat Yourself) principle.","WHERE
  t0.relative_fy_year_offset IN (-1, 0, 1) AND UPPER(IFNULL(t0.revenue_transaction_status, 'XXX')) IN ('BILLED', 'BOOKED') AND UPPER(IFNULL(t0.style_name, 'XXX')) <> 'ROP COMPOSITE' AND UPPER(IFNULL(t0.source_publishing_division, 'XXX')) <> 'MEDIUM RARE CONTENT AGENCY' AND (UPPER(IFNULL(t0.publication_name, 'XXX')) NOT LIKE 'SUDDENLY%' OR (UPPER(t0.publication_name) LIKE 'SUDDENLY%' AND t0.account_number IN ('17114', '29172', '52809')))","Create a base view (e.g., `v_adsales_revenue_client_weekly_filtered`) that encapsulates these common filtering conditions. All dashboard metrics should then query this base view, ensuring consistency, simplifying metric definitions, and centralizing filter logic for easier maintenance and auditing. This also improves performance by applying filters once.",17,8956e94b-f6d1-46a3-9c7f-87a91fbe98b5
current_fy_actual_gross_revenue_k,Data Mismatch,"The metric's SQL logic defines a sum of gross revenue for the current financial year, excluding future periods. However, the `primary_analysis_sql` sample data shows 'current_fy_actual_gross_revenue' as '0.0', indicating a significant discrepancy between the intended calculation and the actual queried result. This suggests either no data matches the criteria, or there's an underlying issue preventing the calculation from yielding expected values.","SELECT SUM(SAFE_DIVIDE(CASE WHEN (t0.is_future_period_flag = 'N' AND t0.relative_fy_year_offset = 0) THEN t0.gross_revenue_amount ELSE 0 END, 1000)) FROM `ncau-data-newsquery-prd.asl_finance_derived.adsales_performance` AS t0;","Investigate the underlying data for `is_future_period_flag`, `relative_fy_year_offset`, and `gross_revenue_amount` to understand why the sum is zero. Verify data freshness and completeness for the current financial year.",18,d3bcf796-2396-4a6f-b0a3-da0b7f299a58
current_fy_gross_revenue_k,Data Mismatch,"Similar to 'current_fy_actual_gross_revenue_k', this metric's SQL logic calculates total gross revenue for the current financial year. However, the `primary_analysis_sql` sample data shows 'current_fy_gross_revenue' as 'null'. This is a critical failure for a primary revenue metric, indicating either a data absence or a calculation error.","SELECT SUM(SAFE_DIVIDE(CASE WHEN (t0.relative_fy_year_offset = 0) THEN t0.gross_revenue_amount ELSE 0 END, 1000)) FROM `ncau-data-newsquery-prd.asl_finance_derived.adsales_performance` AS t0;",Thoroughly debug the SQL query execution. Check for data availability in `adsales_performance` for the current financial year (`relative_fy_year_offset = 0`). Ensure `gross_revenue_amount` is correctly populated and not null in the source.,18,d3bcf796-2396-4a6f-b0a3-da0b7f299a58
stly_gross_revenue_k,Data Mismatch,"The 'STLY Gross Revenue (k)' metric, intended to show 'Same Time Last Year' revenue, returns '0.0' in the `primary_analysis_sql` sample. This suggests that no data matches the criteria for the previous financial year and 'STLY' flag, or the calculation is failing.","SELECT SUM(SAFE_DIVIDE(CASE WHEN (t0.relative_fy_year_offset = -1 AND t0.stly_flag = 'Y') THEN t0.gross_revenue_amount ELSE 0 END, 1000)) FROM `ncau-data-newsquery-prd.asl_finance_derived.adsales_performance` AS t0;",Verify the presence and correctness of `relative_fy_year_offset = -1` and `stly_flag = 'Y'` data in the `adsales_performance` table. Confirm that the `gross_revenue_amount` is non-zero for these records.,18,d3bcf796-2396-4a6f-b0a3-da0b7f299a58
current_fy_past_weeks_pub_lgb,Data Mismatch,"This metric, designed to show past weeks' Publisher LGB for the current FY, also returns '0.0' in the `primary_analysis_sql` sample. This indicates a potential lack of data or an issue with the filtering logic for `relative_fy_week_offset < 0`.",SELECT SUM(CASE WHEN (t0.relative_fy_year_offset = 0 AND t0.relative_fy_week_offset < 0) THEN t0.pub_lgb ELSE 0 END) FROM `ncau-data-newsquery-prd.asl_finance_derived.adsales_performance` AS t0;,Examine the `adsales_performance` table for records matching `relative_fy_year_offset = 0` and `relative_fy_week_offset < 0` with non-zero `pub_lgb` values. Confirm the data is as expected for 'past weeks'.,18,d3bcf796-2396-4a6f-b0a3-da0b7f299a58
