metric_id,metric_name,metric_type,calculation_type,data_type,aggregation_level,is_final_output,is_kpi,business_criticality,depends_on_metrics,business_description,sql_logic,data_sources,filters_applied,expected_data_type,business_context,metric_category,update_frequency,seasonality_impact,hardcoded_dates_in_metric,hardcoded_values_in_metric,governance_issues,data_quality_concerns,response_id,dashboard_id,dashboard_name,depends_on_metrics_count,depends_on_metrics_text,data_sources_count,data_sources_text,filters_applied_count,filters_applied_text,hardcoded_dates_in_metric_count,hardcoded_values_in_metric_count,governance_issues_count,governance_issues_text,data_quality_concerns_count,data_quality_concerns_text
financial_period_label,Financial Period Label,dimension,string_function,string,quarterly,True,False,medium,[],"A concatenated string representing the financial year and quarter (e.g., 'FY25 Q4'), used for financial reporting.","CONCAT('FY', SUBSTR(SAFE_CAST(t0.financialyear AS STRING), 3, 2), ' ', SAFE_CAST(t0.financialquarter AS STRING))",['ncau-data-newsquery-prd.prstn_advertising.programmatic_weekly_master'],"[""financial_period_label IN ('FY25 Q2', 'FY25 Q3', 'FY25 Q4')""]",string,"Used for reporting and filtering data by specific financial quarters, aligning with internal financial calendars.",other,weekly,none,[],"[""'FY25 Q2'"", ""'FY25 Q3'"", ""'FY25 Q4'""]",['lookup values should use reference table or be derived dynamically from a date dimension'],['potential for incorrect financial year/quarter data if source is inaccurate'],7,783f341c-8660-4e90-bab8-9bc860119cf5,Deals Dashboard,0,,1,ncau-data-newsquery-prd.prstn_advertising.programmatic_weekly_master,1,"financial_period_label IN ('FY25 Q2', 'FY25 Q3', 'FY25 Q4')",0,3,1,lookup values should use reference table or be derived dynamically from a date dimension,1,potential for incorrect financial year/quarter data if source is inaccurate
buyer,Buyer,dimension,none,string,transaction,True,False,medium,[],"The entity or individual responsible for purchasing the advertising space, often an agency or direct client.",t0.buyer,['ncau-data-newsquery-prd.prstn_advertising.programmatic_weekly_master'],"[""advertiser IN ('Kmart Corporation *', 'Target Corporation *', 'Myer *')""]",string,"Used to analyze buyer-specific performance and relationships, especially for key accounts.",other,weekly,none,[],[],"['potential for inconsistent naming, need for master buyer list']",['potential for nulls or unexpected values in the raw buyer column'],7,783f341c-8660-4e90-bab8-9bc860119cf5,Deals Dashboard,0,,1,ncau-data-newsquery-prd.prstn_advertising.programmatic_weekly_master,1,"advertiser IN ('Kmart Corporation *', 'Target Corporation *', 'Myer *')",0,0,1,"potential for inconsistent naming, need for master buyer list",1,potential for nulls or unexpected values in the raw buyer column
current_month_flag,Current Month Flag,dimension,conditional,numeric,monthly,False,False,medium,[],A flag (0 or 1) indicating if the financial month corresponds to the current reporting month. Used primarily as a filter.,t0.CurrentMonthFlag,['ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month'],[],integer,Crucial for filtering data to show only the most recent financial month's performance.,other,daily,none,[],['1'],"[""The flag '1' is hardcoded; it should be derived dynamically from current date logic.""]",['Reliance on an ETL process to correctly set this flag for the current month.'],8,a8fe6bb0-3cbf-4d6e-8838-fa6e6dce447f,Pacing Dashboard,0,,1,ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month,0,,0,1,1,The flag '1' is hardcoded; it should be derived dynamically from current date logic.,1,Reliance on an ETL process to correctly set this flag for the current month.
financial_month_number,Financial Month Number,dimension,none,numeric,monthly,False,False,low,[],"The numerical representation of the financial month (e.g., 1 for July, 2 for August, etc., depending on financial year start).",t0.FinancialMonthNumber,['ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month'],[],integer,Used for chronological ordering and grouping of financial data.,other,daily,high,[],[],[],[],8,a8fe6bb0-3cbf-4d6e-8838-fa6e6dce447f,Pacing Dashboard,0,,1,ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month,0,,0,0,0,,0,
financial_year,Financial Year,dimension,none,numeric,monthly,False,False,low,[],The financial year to which the data pertains.,t0.FinancialYear,['ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month'],[],integer,"Used for chronological ordering and grouping of financial data, especially for year-over-year comparisons.",other,daily,high,[],[],[],[],8,a8fe6bb0-3cbf-4d6e-8838-fa6e6dce447f,Pacing Dashboard,0,,1,ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month,0,,0,0,0,,0,
source_dimension,Source,dimension,none,string,monthly,False,False,high,[],"The advertising platform or partner from which the data originates (e.g., 'Kargo', 'AdX').",t0.Source,['ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month'],[],string,Key dimension for segmenting performance by advertising channel.,other,daily,none,[],"[""'Kargo'"", ""'AdX'""]",['Source names are hardcoded in filters; they should be managed in a lookup table for consistency and maintainability.'],['Potential for misspellings or variations if not governed.'],8,a8fe6bb0-3cbf-4d6e-8838-fa6e6dce447f,Pacing Dashboard,0,,1,ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month,0,,0,2,1,Source names are hardcoded in filters; they should be managed in a lookup table for consistency and maintainability.,1,Potential for misspellings or variations if not governed.
static_days,Static Days,measure,none,numeric,monthly,False,False,medium,[],"A pre-calculated count of 'static' days for a given financial month, specific to certain advertising sources (e.g., 'Kargo').",t0.StaticDays,['ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month'],[],integer,"Used in the calculation of the 'Financial Month Display (Kargo)' string, likely representing a key pacing metric.",volume,daily,none,[],[],[],['Accuracy depends on the upstream ETL process that populates this column.'],8,a8fe6bb0-3cbf-4d6e-8838-fa6e6dce447f,Pacing Dashboard,0,,1,ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month,0,,0,0,0,,1,Accuracy depends on the upstream ETL process that populates this column.
num_days,Number of Days,measure,none,numeric,monthly,False,False,medium,[],"A pre-calculated count of 'number of days' for a given financial month, specific to certain advertising sources (e.g., Non-AdX).",t0.NumDays,['ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month'],[],integer,"Used in the calculation of the 'Financial Month Display (Non-AdX)' string, likely representing a key pacing metric.",volume,daily,none,[],[],[],['Accuracy depends on the upstream ETL process that populates this column.'],8,a8fe6bb0-3cbf-4d6e-8838-fa6e6dce447f,Pacing Dashboard,0,,1,ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month,0,,0,0,0,,1,Accuracy depends on the upstream ETL process that populates this column.
product_type,Product Type,dimension,none,string,monthly,True,False,low,[],The type of product associated with advertising data.,t0.ProductType,['ncau-data-newsquery-prd.prstn_advertising.programmatic_cal_month'],[],string,Likely used as a filter or grouping dimension in the dashboard to segment data by product.,other,daily,none,[],[],[],[],8,a8fe6bb0-3cbf-4d6e-8838-fa6e6dce447f,Pacing Dashboard,0,,1,ncau-data-newsquery-prd.prstn_advertising.programmatic_cal_month,0,,0,0,0,,0,
financial_month_id,Financial Month ID,calculated_field,mathematical,numeric,monthly,False,False,medium,"['financial_year', 'financial_month_number']","A unique numerical identifier for each financial month, created by concatenating the financial year and month number (e.g., 202309 for September 2023).",((FinancialYear * 100) + FinancialMonthNumber),['ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month'],[],integer,"Used for internal sorting, grouping, and as part of the display strings for financial months.",other,daily,none,[],[],[],[],8,a8fe6bb0-3cbf-4d6e-8838-fa6e6dce447f,Pacing Dashboard,2,"financial_year, financial_month_number",1,ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month,0,,0,0,0,,0,
financial_month_display_kargo,Financial Month Display (Kargo),calculated_field,string_function,string,monthly,True,False,medium,"['static_days', 'financial_month_id']","A formatted string combining 'Static Days' and 'Financial Month ID' for 'Kargo' source data, used for display in the dashboard (e.g., '30 (202309)').","CONCAT(SAFE_CAST(StaticDays AS STRING), CONCAT(' (', SAFE_CAST(Financial_Month_ID AS STRING)), ' )')",['ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month'],"['CurrentMonthFlag = 1', ""Source IN ('Kargo')""]",string,Serves as a user-friendly label for selecting or displaying Kargo-specific financial month data.,other,daily,none,[],[],[],"[""Relies on the accuracy of 'StaticDays' and 'FinancialMonthID'.""]",8,a8fe6bb0-3cbf-4d6e-8838-fa6e6dce447f,Pacing Dashboard,2,"static_days, financial_month_id",1,ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month,2,"CurrentMonthFlag = 1, Source IN ('Kargo')",0,0,0,,1,Relies on the accuracy of 'StaticDays' and 'FinancialMonthID'.
financial_month_display_non_adx,Financial Month Display (Non-AdX),calculated_field,string_function,string,monthly,True,False,medium,"['num_days', 'financial_month_id']","A formatted string combining 'Num Days' and 'Financial Month ID' for 'Non-AdX' source data, used for display in the dashboard (e.g., '31 (202309)').","CONCAT(SAFE_CAST(NumDays AS STRING), CONCAT(' (', SAFE_CAST(Financial_Month_ID AS STRING)), ' )')",['ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month'],"['CurrentMonthFlag = 1', ""(Source NOT IN ('AdX') OR Source IS NULL)""]",string,Serves as a user-friendly label for selecting or displaying Non-AdX specific financial month data.,other,daily,none,[],[],[],"[""Relies on the accuracy of 'NumDays' and 'FinancialMonthID'.""]",8,a8fe6bb0-3cbf-4d6e-8838-fa6e6dce447f,Pacing Dashboard,2,"num_days, financial_month_id",1,ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month,2,"CurrentMonthFlag = 1, (Source NOT IN ('AdX') OR Source IS NULL)",0,0,0,,1,Relies on the accuracy of 'NumDays' and 'FinancialMonthID'.
kargo_static_days_current_month,Kargo Static Days (Current Month),measure,conditional,numeric,monthly,True,True,high,"['static_days', 'current_month_flag', 'source_dimension']","The 'StaticDays' value specifically for the 'Kargo' advertising source, filtered for the current financial month. This is a key pacing metric.",CASE WHEN CurrentMonthFlag = 1 AND Source = 'Kargo' THEN StaticDays ELSE NULL END,['ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month'],"['CurrentMonthFlag = 1', ""Source IN ('Kargo')""]",integer,"Represents a critical daily count for the 'Kargo' platform, used for monitoring pacing against targets.",volume,daily,none,[],"['1', ""'Kargo'""]","[""Hardcoded 'CurrentMonthFlag' and 'Source' values should be parameterized or governed.""]","[""Accuracy depends on the upstream ETL and correct 'CurrentMonthFlag' assignment.""]",8,a8fe6bb0-3cbf-4d6e-8838-fa6e6dce447f,Pacing Dashboard,3,"static_days, current_month_flag, source_dimension",1,ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month,2,"CurrentMonthFlag = 1, Source IN ('Kargo')",0,2,1,Hardcoded 'CurrentMonthFlag' and 'Source' values should be parameterized or governed.,1,Accuracy depends on the upstream ETL and correct 'CurrentMonthFlag' assignment.
non_adx_num_days_current_month,Non-AdX Number of Days (Current Month),measure,conditional,numeric,monthly,True,True,high,"['num_days', 'current_month_flag', 'source_dimension']","The 'NumDays' value for advertising sources other than 'AdX' (or NULL sources), filtered for the current financial month. This is a key pacing metric.",CASE WHEN CurrentMonthFlag = 1 AND (Source NOT IN ('AdX') OR Source IS NULL) THEN NumDays ELSE NULL END,['ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month'],"['CurrentMonthFlag = 1', ""(Source NOT IN ('AdX') OR Source IS NULL)""]",integer,"Represents a critical daily count for non-AdX platforms, used for monitoring pacing against targets.",volume,daily,none,[],"['1', ""'AdX'""]","[""Hardcoded 'CurrentMonthFlag' and 'Source' values should be parameterized or governed.""]","[""Accuracy depends on the upstream ETL and correct 'CurrentMonthFlag' assignment.""]",8,a8fe6bb0-3cbf-4d6e-8838-fa6e6dce447f,Pacing Dashboard,3,"num_days, current_month_flag, source_dimension",1,ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month,2,"CurrentMonthFlag = 1, (Source NOT IN ('AdX') OR Source IS NULL)",0,2,1,Hardcoded 'CurrentMonthFlag' and 'Source' values should be parameterized or governed.,1,Accuracy depends on the upstream ETL and correct 'CurrentMonthFlag' assignment.
fiscal_week_month_string,Fiscal Week and Month,dimension,string_function,string,transaction,True,False,medium,"['week_number_adjusted', 'custom_fiscal_month_number']","A custom formatted string representing the fiscal year, week number, and corresponding fiscal month name. Used for time-based grouping and filtering.","CONCAT('FY ', '2025', ' Week ', SAFE_CAST(week_number_adjusted AS STRING), ' (', month_name, ')')",['ncau-data-newsquery-prd.asl_finance_derived.digital_subscriptions'],[],string,"Provides a custom time hierarchy for subscription reporting, aligning with internal fiscal periods.",other,on_demand,high,"['23/03/2025', '03/07/2024', '2025']","[""'FY '"", ""' Week '"", ""' ('"", ""')'"", ""'July'"", ""'August'"", ""'September'"", ""'October'"", ""'November'"", ""'December'"", ""'January'"", ""'February'"", ""'March'"", ""'April'"", ""'May'"", ""'June'""]","['Date calculations rely on hardcoded dates and a fixed fiscal year, which should be parameterized or sourced from a fiscal calendar table.', 'Week-to-month mapping is hardcoded and should be in a governed lookup table.']",['Accuracy depends on the fixed fiscal year and baseline date. Future data will require manual update of hardcoded values.'],9,5dae02f0-dc48-418c-bdf9-5e5d2b1d6e26,Optimizing Digital Subscriptions Report,2,"week_number_adjusted, custom_fiscal_month_number",1,ncau-data-newsquery-prd.asl_finance_derived.digital_subscriptions,0,,3,16,2,"Date calculations rely on hardcoded dates and a fixed fiscal year, which should be parameterized or sourced from a fiscal calendar table., Week-to-month mapping is hardcoded and should be in a governed lookup table.",1,Accuracy depends on the fixed fiscal year and baseline date. Future data will require manual update of hardcoded values.
recognition_type,Recognition Type,dimension,case_when,string,transaction,True,False,high,"['delivery_medium_type', 'email_bundle_flag']",Categorizes a subscription as 'Print Recognition' or 'Digital Recognition' based on delivery medium and email flag.,CASE WHEN (delivery_medium_type = 'Print') THEN 'Print Recognition' WHEN (email_bundle_flag = 'N') THEN 'Print Recognition' ELSE 'Digital Recognition' END,['ncau-data-newsquery-prd.asl_finance_derived.digital_subscriptions'],"[""recognition_type = 'Digital Recognition'""]",string,"Crucial for segmenting subscription data into digital vs. print categories, which is central to the dashboard's purpose.",other,on_demand,none,[],"[""'Print'"", ""'Print Recognition'"", ""'Digital Recognition'"", ""'N'""]",['Categorization logic is hardcoded; should be managed as a business rule in a central configuration.'],['Relies on the accuracy of `delivery_medium_type` and `subscriber_has_email_flag`.'],9,5dae02f0-dc48-418c-bdf9-5e5d2b1d6e26,Optimizing Digital Subscriptions Report,2,"delivery_medium_type, email_bundle_flag",1,ncau-data-newsquery-prd.asl_finance_derived.digital_subscriptions,1,recognition_type = 'Digital Recognition',0,4,1,Categorization logic is hardcoded; should be managed as a business rule in a central configuration.,1,Relies on the accuracy of `delivery_medium_type` and `subscriber_has_email_flag`.
masthead_group_broad,Masthead Group (Broad),dimension,case_when,string,transaction,True,False,high,['masthead_group_detailed'],"Groups detailed mastheads into broader categories like 'Metros', 'Regionals', 'Deep Niche Publications', 'Others', 'Discontinued', and 'The Australian'.",CASE WHEN (detailed_masthead_group = 'The Australian') THEN 'The Australian' WHEN (...) THEN 'Metros' WHEN (...) THEN 'Regionals' WHEN (...) THEN 'Deep Niche Publications' WHEN (detailed_masthead_group = 'Weekly Times') THEN 'Others' ELSE 'Discontinued' END,['ncau-data-newsquery-prd.asl_finance_derived.digital_subscriptions'],"[""masthead_group_broad != 'Discontinued'""]",string,Enables high-level analysis of subscription performance across major masthead segments.,other,on_demand,none,[],"[""'The Australian'"", ""'Metros'"", ""'Regionals'"", ""'Deep Niche Publications'"", ""'Others'"", ""'Discontinued'"", ""'Weekly Times'""]",['Categorization logic is hardcoded and highly complex; should be moved to a governed lookup table for maintainability and consistency.'],['Accuracy depends on the correctness of the `detailed_masthead_group` and the extensive `CASE WHEN` logic.'],9,5dae02f0-dc48-418c-bdf9-5e5d2b1d6e26,Optimizing Digital Subscriptions Report,1,masthead_group_detailed,1,ncau-data-newsquery-prd.asl_finance_derived.digital_subscriptions,1,masthead_group_broad != 'Discontinued',0,7,1,Categorization logic is hardcoded and highly complex; should be moved to a governed lookup table for maintainability and consistency.,1,Accuracy depends on the correctness of the `detailed_masthead_group` and the extensive `CASE WHEN` logic.
masthead_group_detailed,Masthead Group (Detailed),dimension,case_when,string,transaction,False,False,high,"['gl_publication_code', 'masthead_code']",Categorizes individual mastheads based on their GL publication code and masthead code.,CASE WHEN (gl_publication_code = '100' OR gl_publication_code = '101' OR masthead_code = 'TA') THEN 'The Australian' ... ELSE NULL END,['ncau-data-newsquery-prd.asl_finance_derived.digital_subscriptions'],[],string,Provides granular detail for subscription analysis at the individual masthead level.,other,on_demand,none,[],"[""'100'"", ""'402'"", ""'301'"", ""'AP'"", ""'NT'"", ""'SC'"", 'numerous other gl_publication_code and masthead_code values and their mapped names']","['Extensive hardcoding of lookup values and their mappings; should be replaced by a `masthead_lookup` table.', 'High maintenance risk due to direct embedding of business rules in SQL.']",['Potential for errors or inconsistencies if new codes are introduced or existing mappings change without SQL updates.'],9,5dae02f0-dc48-418c-bdf9-5e5d2b1d6e26,Optimizing Digital Subscriptions Report,2,"gl_publication_code, masthead_code",1,ncau-data-newsquery-prd.asl_finance_derived.digital_subscriptions,0,,0,7,2,"Extensive hardcoding of lookup values and their mappings; should be replaced by a `masthead_lookup` table., High maintenance risk due to direct embedding of business rules in SQL.",1,Potential for errors or inconsistencies if new codes are introduced or existing mappings change without SQL updates.
masthead_group_broader,Masthead Group (Broader),dimension,case_when,string,transaction,True,False,medium,"['gl_publication_code', 'masthead_code', 'detailed_masthead_group']","Provides an even higher-level grouping of mastheads, such as 'The Australian and Prestige', 'States & Community', 'Commercial Content', and 'Free & Lifestyle'.",CASE WHEN (detailed_masthead_group = 'The Australian' OR gl_publication_code = '9556' OR gl_publication_code = '9560') THEN 'The Australian and Prestige' ... ELSE 'Discontinued' END,['ncau-data-newsquery-prd.asl_finance_derived.digital_subscriptions'],[],string,Used for very high-level strategic analysis of subscription portfolio performance.,other,on_demand,none,[],"[""'The Australian and Prestige'"", ""'States & Community'"", ""'Commercial Content'"", ""'Free & Lifestyle'"", ""'Discontinued'"", 'numerous gl_publication_code and masthead_code values']","['Similar to detailed and broad masthead groups, this logic is hardcoded and should be externalized to a lookup table.']",['Risk of inconsistencies if not centrally managed.'],9,5dae02f0-dc48-418c-bdf9-5e5d2b1d6e26,Optimizing Digital Subscriptions Report,3,"gl_publication_code, masthead_code, detailed_masthead_group",1,ncau-data-newsquery-prd.asl_finance_derived.digital_subscriptions,0,,0,6,1,"Similar to detailed and broad masthead groups, this logic is hardcoded and should be externalized to a lookup table.",1,Risk of inconsistencies if not centrally managed.
email_bundle_flag,Email/Bundle Flag,dimension,case_when,string,transaction,False,False,low,"['subscriber_has_email_flag', 'classification_level_1_description', 'delivery_medium_type']",A flag indicating if a subscriber has an email or if the subscription is a 'Standard Paid' bundle. Used in the 'Recognition Type' calculation.,CASE WHEN (subscriber_has_email_flag = 'subsnapfact') THEN 'Y' WHEN (classification_level_1_description = 'Standard Paid' AND delivery_medium_type = 'Bundle') THEN subscriber_has_email_flag ELSE 'Y' END,['ncau-data-newsquery-prd.asl_finance_derived.digital_subscriptions'],[],string,An intermediate dimension used to determine the 'Recognition Type'.,other,on_demand,none,[],"[""'subsnapfact'"", ""'Y'"", ""'Standard Paid'"", ""'Bundle'""]",['Hardcoded values for flags and descriptions; could be managed via configuration if these values change.'],"['Depends on the consistency of input `subscriber_has_email_flag`, `classification_level_1_description`, and `delivery_medium_type`.']",9,5dae02f0-dc48-418c-bdf9-5e5d2b1d6e26,Optimizing Digital Subscriptions Report,3,"subscriber_has_email_flag, classification_level_1_description, delivery_medium_type",1,ncau-data-newsquery-prd.asl_finance_derived.digital_subscriptions,0,,0,4,1,Hardcoded values for flags and descriptions; could be managed via configuration if these values change.,1,"Depends on the consistency of input `subscriber_has_email_flag`, `classification_level_1_description`, and `delivery_medium_type`."
report_type_fct,Report Type (FCT),dimension,conditional,string,transaction,True,False,low,[],"A hardcoded label 'FCT', likely representing a 'Forecast' report type. Used as a dimension in the dashboard.",CASE WHEN (2 = 1) THEN 'BUD' WHEN (2 = 2) THEN 'FCT' WHEN (2 = 3) THEN 'YOY' WHEN (2 = 4) THEN 'BUD NY' ELSE NULL END (always evaluates to 'FCT'),['ncau-data-newsquery-prd.asl_finance_derived.digital_subscriptions'],[],string,"Likely used to distinguish data sets or views within the dashboard, possibly for comparing actuals to forecast.",other,on_demand,none,[],"[""'BUD'"", ""'FCT'"", ""'YOY'"", ""'BUD NY'""]",['Hardcoded label; should be managed as a Looker Studio parameter or a configuration table if dynamic selection is needed.'],"[""None, as it's a static value.""]",9,5dae02f0-dc48-418c-bdf9-5e5d2b1d6e26,Optimizing Digital Subscriptions Report,0,,1,ncau-data-newsquery-prd.asl_finance_derived.digital_subscriptions,0,,0,4,1,Hardcoded label; should be managed as a Looker Studio parameter or a configuration table if dynamic selection is needed.,1,"None, as it's a static value."
cancellation_type,Cancellation Type,dimension,conditional,string,transaction,True,False,low,[],"A hardcoded label 'Gross Cancellations', likely representing a specific type of cancellation metric. Used as a dimension in the dashboard.",CASE WHEN (1 = 1) THEN 'Gross Cancellations' WHEN (1 = 2) THEN 'Net Cancellations' ELSE NULL END (always evaluates to 'Gross Cancellations'),['ncau-data-newsquery-prd.asl_finance_derived.digital_subscriptions'],[],string,Likely used to categorize or label cancellation data within the dashboard.,other,on_demand,none,[],"[""'Gross Cancellations'"", ""'Net Cancellations'""]",['Hardcoded label; should be managed as a Looker Studio parameter or a configuration table if dynamic selection is needed.'],"[""None, as it's a static value.""]",9,5dae02f0-dc48-418c-bdf9-5e5d2b1d6e26,Optimizing Digital Subscriptions Report,0,,1,ncau-data-newsquery-prd.asl_finance_derived.digital_subscriptions,0,,0,2,1,Hardcoded label; should be managed as a Looker Studio parameter or a configuration table if dynamic selection is needed.,1,"None, as it's a static value."
acquisition_type,Acquisition Type,dimension,conditional,string,transaction,True,False,low,[],"A hardcoded label 'Gross Acquisitions', likely representing a specific type of acquisition metric. Used as a dimension in the dashboard.",CASE WHEN (1 = 1) THEN 'Gross Acquisitions' WHEN (1 = 2) THEN 'Net Acquisitions' ELSE NULL END (always evaluates to 'Gross Acquisitions'),['ncau-data-newsquery-prd.asl_finance_derived.digital_subscriptions'],[],string,Likely used to categorize or label acquisition data within the dashboard.,other,on_demand,none,[],"[""'Gross Acquisitions'"", ""'Net Acquisitions'""]",['Hardcoded label; should be managed as a Looker Studio parameter or a configuration table if dynamic selection is needed.'],"[""None, as it's a static value.""]",9,5dae02f0-dc48-418c-bdf9-5e5d2b1d6e26,Optimizing Digital Subscriptions Report,0,,1,ncau-data-newsquery-prd.asl_finance_derived.digital_subscriptions,0,,0,2,1,Hardcoded label; should be managed as a Looker Studio parameter or a configuration table if dynamic selection is needed.,1,"None, as it's a static value."
digital_subscription_count,Digital Subscription Count,measure,count_distinct,numeric,transaction,True,True,high,"['subscription_id_placeholder', 'recognition_type', 'masthead_group_broad']","The total count of unique digital subscriptions, filtered by digital recognition and non-discontinued mastheads. This is an inferred core metric for a subscription report.",COUNT(DISTINCT t0.some_subscription_id_column),['ncau-data-newsquery-prd.asl_finance_derived.digital_subscriptions'],"[""recognition_type = 'Digital Recognition'"", ""masthead_group_broad != 'Discontinued'""]",integer,"A primary KPI for understanding the volume of digital subscriptions, segmented by various dimensions.",volume,daily,medium,[],[],"['Assumes existence of a unique subscription identifier. If not, `COUNT(*)` would be used, which might overcount.']",['Accuracy depends on the uniqueness and completeness of `subscription_id_placeholder` and the correctness of filtering dimensions.'],9,5dae02f0-dc48-418c-bdf9-5e5d2b1d6e26,Optimizing Digital Subscriptions Report,3,"subscription_id_placeholder, recognition_type, masthead_group_broad",1,ncau-data-newsquery-prd.asl_finance_derived.digital_subscriptions,2,"recognition_type = 'Digital Recognition', masthead_group_broad != 'Discontinued'",0,0,1,"Assumes existence of a unique subscription identifier. If not, `COUNT(*)` would be used, which might overcount.",1,Accuracy depends on the uniqueness and completeness of `subscription_id_placeholder` and the correctness of filtering dimensions.
product_group,Product Group,dimension,none,string,transaction,False,False,low,[],Categorization of products.,t0.product_group,['ncau-data-newsquery-prd.asl_finance_derived.adsales_performance'],[],string,Used for filtering and grouping sales performance by product category.,other,daily,none,[],[],[],[],10,4d8074b2-17a8-48ba-babe-c536359b1f64,Final_Draft Adsales Performance Dashboard - FY25 20241127,0,,1,ncau-data-newsquery-prd.asl_finance_derived.adsales_performance,0,,0,0,0,,0,
unified_publication_name,Unified Publication Name,dimension,none,string,transaction,False,False,low,[],Standardized name of the publication.,t0.unified_publication_name,['ncau-data-newsquery-prd.asl_finance_derived.adsales_performance'],[],string,Used for filtering and grouping sales performance by publication.,other,daily,none,[],[],[],[],10,4d8074b2-17a8-48ba-babe-c536359b1f64,Final_Draft Adsales Performance Dashboard - FY25 20241127,0,,1,ncau-data-newsquery-prd.asl_finance_derived.adsales_performance,0,,0,0,0,,0,
financial_short_month_dim,Financial Short Month,dimension,none,string,monthly,True,False,low,[],"The short name of the financial month (e.g., 'Jul', 'Aug').",t0.financial_short_month,['ncau-data-newsquery-prd.asl_finance_derived.adsales_performance'],[],string,Key dimension for time-series analysis of sales performance.,other,daily,high,[],[],[],[],10,4d8074b2-17a8-48ba-babe-c536359b1f64,Final_Draft Adsales Performance Dashboard - FY25 20241127,0,,1,ncau-data-newsquery-prd.asl_finance_derived.adsales_performance,0,,0,0,0,,0,
financial_year_dim,Financial Year,dimension,none,string,yearly,True,False,low,[],The financial year.,t0.financial_year,['ncau-data-newsquery-prd.asl_finance_derived.adsales_performance'],[],string,Primary dimension for year-over-year comparisons.,other,daily,none,[],[],[],[],10,4d8074b2-17a8-48ba-babe-c536359b1f64,Final_Draft Adsales Performance Dashboard - FY25 20241127,0,,1,ncau-data-newsquery-prd.asl_finance_derived.adsales_performance,0,,0,0,0,,0,
financial_short_month_sorted_dim,Financial Short Month (Sorted),dimension,case_when,string,monthly,True,False,low,['financial_short_month_dim'],"Financial short month prefixed with a number for correct chronological sorting (e.g., '01.Jul', '07.Jan').",CASE WHEN (financial_short_month = 'Jul') THEN '01.Jul' ... ELSE NULL END,['ncau-data-newsquery-prd.asl_finance_derived.adsales_performance'],[],string,Ensures correct ordering of months in visualizations.,other,daily,none,[],"[""'Jul'"", ""'Aug'"", ""'Sep'"", ""'Oct'"", ""'Nov'"", ""'Dec'"", ""'Jan'"", ""'Feb'"", ""'Mar'"", ""'Apr'"", ""'May'"", ""'Jun'""]",['Lookup values should use reference table.'],[],10,4d8074b2-17a8-48ba-babe-c536359b1f64,Final_Draft Adsales Performance Dashboard - FY25 20241127,1,financial_short_month_dim,1,ncau-data-newsquery-prd.asl_finance_derived.adsales_performance,0,,0,12,1,Lookup values should use reference table.,0,
revenue_type_xtend_adjusted_dim,Revenue Type (XTEND Adjusted),dimension,case_when,string,transaction,True,False,low,[],"Revenue type, with 'Y' xtend_flag values remapped to 'XTEND'.",CASE WHEN (xtend_flag = 'Y') THEN 'XTEND' ELSE revenue_type END,['ncau-data-newsquery-prd.asl_finance_derived.adsales_performance'],[],string,"Provides a consolidated view of revenue types, highlighting 'XTEND' specific revenue.",other,daily,none,[],"[""'Y'"", ""'XTEND'""]",['Lookup values should use reference table.'],[],10,4d8074b2-17a8-48ba-babe-c536359b1f64,Final_Draft Adsales Performance Dashboard - FY25 20241127,0,,1,ncau-data-newsquery-prd.asl_finance_derived.adsales_performance,0,,0,2,1,Lookup values should use reference table.,0,
financial_quarter_dim,Financial Quarter,dimension,cast,integer,quarterly,True,False,low,[],The financial quarter number.,SAFE_CAST(financial_quarter AS INT64),['ncau-data-newsquery-prd.asl_finance_derived.adsales_performance'],[],integer,Key dimension for quarterly performance analysis.,other,daily,high,[],[],[],[],10,4d8074b2-17a8-48ba-babe-c536359b1f64,Final_Draft Adsales Performance Dashboard - FY25 20241127,0,,1,ncau-data-newsquery-prd.asl_finance_derived.adsales_performance,0,,0,0,0,,0,
