consolidated_metric_id,metric_name,business_description,consolidated_sql_core,source_tables,original_metric_ids,dashboard_id
cons_total_records,Total Records,"The total number of records in the underlying dataset, representing individual entries or events.",COUNT(1),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'your_table_name'}]",t0_qt_fhjytdadld,a5d7d240-afbf-4f2d-b228-565c10dceb18
cons_unique_subscriber_count,Unique Subscriber Count,"The total number of distinct subscribers, identified by their unique 'subscriber_id_src'. This metric is crucial for understanding the unique user base.",COUNT(DISTINCT t0.subscriber_id_src),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'your_table_name'}]",t0_qt_q4aiycadld,a5d7d240-afbf-4f2d-b228-565c10dceb18
cons_unique_subscription_count,Unique Subscription Count,"The total number of distinct subscriptions, identified by their unique 'subscription_id_src'. This metric helps in understanding the unique subscription base.",COUNT(DISTINCT t0.subscription_id_src),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'your_table_name'}]",t0_qt_w8h08cadld,a5d7d240-afbf-4f2d-b228-565c10dceb18
cons_derived_australian_state_territory,Derived Australian State/Territory,A derived attribute representing the Australian State or Territory based on the 'subscriber_zip' postcode. This logic is currently hardcoded within the metric definition and should ideally be managed as a dimension in the data model for better maintainability and consistency.,CASE WHEN (t0.subscriber_zip BETWEEN '2000' AND '2599') THEN 'NSW' WHEN (t0.subscriber_zip BETWEEN '2619' AND '2899') THEN 'NSW' WHEN (t0.subscriber_zip BETWEEN '2921' AND '2999') THEN 'NSW' WHEN (t0.subscriber_zip BETWEEN '2600' AND '2618') THEN 'ACT' WHEN (t0.subscriber_zip BETWEEN '2900' AND '2920') THEN 'ACT' WHEN (t0.subscriber_zip BETWEEN '3000' AND '3999') THEN 'VIC' WHEN (t0.subscriber_zip BETWEEN '4000' AND '4999') THEN 'QLD' WHEN (t0.subscriber_zip BETWEEN '5000' AND '5799') THEN 'SA' WHEN (t0.subscriber_zip BETWEEN '6000' AND '6797') THEN 'WA' WHEN (t0.subscriber_zip BETWEEN '7000' AND '7799') THEN 'TAS' WHEN (t0.subscriber_zip BETWEEN '0800' AND '0899') THEN 'NT' WHEN (t0.subscriber_zip BETWEEN '800' AND '899') THEN 'NT' ELSE 'Other/null' END,"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'your_table_name'}]",t0_qt_40stlhadld,a5d7d240-afbf-4f2d-b228-565c10dceb18
cons_sum_subscription_id,Sum of Subscription ID,"The sum of the 'subscription_id_src' field. If 'subscription_id_src' is a unique identifier, summing it results in a numerically meaningless value. It is strongly recommended to clarify the true business meaning of this field; if it's an identifier, consider using COUNT or COUNT(DISTINCT) instead, or if it represents a quantity, rename the field to reflect its numerical significance.",SUM(t0.subscription_id_src),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'your_table_name'}]",t0_qt_cfafvdadld;t0_qt_menisdadld,a5d7d240-afbf-4f2d-b228-565c10dceb18
cons_sum_subscriber_id,Sum of Subscriber ID,"The sum of the 'subscriber_id_src' field. Similar to 'Sum of Subscription ID', if 'subscriber_id_src' is a unique identifier, summing it results in a numerically meaningless value. It is strongly recommended to clarify the true business meaning of this field; if it's an identifier, consider using COUNT or COUNT(DISTINCT) instead, or if it represents a quantity, rename the field to reflect its numerical significance.",SUM(t0.subscriber_id_src),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'your_table_name'}]",t0_qt_n0hwqdadld,a5d7d240-afbf-4f2d-b228-565c10dceb18
cons_day_target_publication_group,Day Target by Publication Group,"The aggregated daily target value assigned to a specific publication group, used for tracking their performance against editorial or content production goals.",SUM(t0.day_target_by_publication_group),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table_t0'}]",t0_qt_0bjpoeonrc;t0_qt_jrxn4ddclc,003ea399-8d01-4613-91ef-e27f1254bda8
cons_day_target_section_team,Day Target by Section Team,"The aggregated daily target value assigned to a specific section team, used for evaluating their contribution to overall performance and content delivery.",SUM(t0.day_target_by_section_team),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table_t0'}]",t0_qt_pvz36apnrc,003ea399-8d01-4613-91ef-e27f1254bda8
cons_day_target_website,Day Target Website,"The aggregated daily target value for overall website performance, representing the cumulative goal for the digital platform's daily operations.",SUM(t0.day_target_website),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table_t0'}]",t0_qt_wntlqtonrc,003ea399-8d01-4613-91ef-e27f1254bda8
cons_record_count,Record Count,"The total number of records or transactions present in the underlying dataset, providing an indication of data volume.",COUNT(1),[],record_count,d7412673-0af1-4efe-8374-ca475b001fb6
cons_total_actual_amount,Total Actual Amount,"The aggregate sum of all actual financial amounts recorded, representing the total value of a specific financial measure.",SUM(Actual_Amount),[],total_actual_amount,d7412673-0af1-4efe-8374-ca475b001fb6
cons_total_c_score_target,Total C-Score Target,"The aggregated target value for the C-Score, representing the desired performance or compliance level that the organization aims to achieve.",SUM(t0.c_score_target),[],t0_qt_j2b9jbhclc,830018a3-2d7c-4496-bd33-5471d610b39d
cons_iso_week_start_date,ISO Week Start Date,"The calculated start date of the ISO week, derived from the 'week_ending' field. This metric is crucial for consistent weekly aggregation and time-series analysis in accordance with the ISO 8601 standard.","SAFE_CAST(DATETIME_TRUNC(SAFE_CAST(t0.week_ending AS DATETIME), ISOWEEK) AS DATE)",[],t0_qt_c01ys2dytc,830018a3-2d7c-4496-bd33-5471d610b39d
cons_live_status,Live Status,"Indicates whether the data for the current campaign or report is up-to-date, based on the latest available date in the primary campaign performance data source.",CASE WHEN date = (SELECT MAX(date) FROM `ncau-data-newsquery-sit.qvr_consumer.campaign_performance_consol`) THEN 'Y' ELSE 'N' END,"[{'gcp_project': 'ncau-data-newsquery-sit', 'dataset': 'qvr_consumer', 'table': 'campaign_performance_consol'}]",Live,88d635d0-512a-4ad8-b430-afcffbdb72bb
cons_days_live,Days Live,"The total number of distinct days a campaign has been active or reported on, indicating its operational duration.",COUNT(DISTINCT date),"[{'gcp_project': 'ncau-data-newsquery-sit', 'dataset': 'qvr_consumer', 'table': 'campaign_performance_consol'}]",Days_live,88d635d0-512a-4ad8-b430-afcffbdb72bb
cons_campaign_classification,Campaign Classification,"Categorizes campaigns based on their originating source system or specific campaign type (e.g., Meta, LinkedIn, Google Search, Google PMAX). This acts as a dimension for analyzing campaign performance.",CASE WHEN source_system_name LIKE '%Facebook%' THEN 'Meta' WHEN source_system_name LIKE '%LinkedIn%' THEN 'LinkedIn' WHEN source_system_name LIKE '%Trade Desk%' THEN 'Trade Desk' WHEN campaign_type LIKE '%SEARCH%' THEN 'Google Search' WHEN campaign_type LIKE '%PERFORMANCE_MAX%' THEN 'Google PMAX' ELSE 'Other' END,"[{'gcp_project': 'ncau-data-newsquery-sit', 'dataset': 'qvr_consumer', 'table': 'campaign_performance_consol'}]",Campaign_Classification,88d635d0-512a-4ad8-b430-afcffbdb72bb
cons_total_subscriptions,Total Subscriptions,The aggregate number of subscriptions generated by campaigns. This metric can be effectively segmented and analyzed using the 'Campaign Classification' dimension to understand performance across different sources.,SUM(subscriptions),"[{'gcp_project': 'ncau-data-newsquery-sit', 'dataset': 'qvr_consumer', 'table': 'campaign_performance_consol'}]",Meta_Subs;LinkedIn_Subs;TradeDesk_Subs;Google_Search_Subs;Google_PMAX_Subs,88d635d0-512a-4ad8-b430-afcffbdb72bb
cons_subscriptions_last_7_days,Subscriptions Last 7 Days,"The total number of subscriptions generated within the most recent 7-day period from the current date, providing a snapshot of recent performance.","SUM(CASE WHEN DATE_DIFF(`CURRENT_DATE`(), date, DAY) <= 7 THEN subscriptions ELSE 0 END)","[{'gcp_project': 'ncau-data-newsquery-sit', 'dataset': 'qvr_consumer', 'table': 'campaign_performance_consol'}]",Subs_Last_7_Days,88d635d0-512a-4ad8-b430-afcffbdb72bb
cons_cost_last_7_days,Cost Last 7 Days,"The total spend or cost incurred by campaigns within the most recent 7-day period from the current date, indicating recent expenditure.","SUM(CASE WHEN DATE_DIFF(`CURRENT_DATE`(), date, DAY) <= 7 THEN spend ELSE 0 END)","[{'gcp_project': 'ncau-data-newsquery-sit', 'dataset': 'qvr_consumer', 'table': 'campaign_performance_consol'}]",Cost_Last_7_Days,88d635d0-512a-4ad8-b430-afcffbdb72bb
cons_total_c_score_target,Total C-Score Target,"The sum of the C-Score target values, representing the cumulative goal or objective for the 'C-Score' metric over the reporting period. This metric is used to track performance against a predefined C-Score benchmark.",SUM(t0.c_score_target),[],t0_qt_j2b9jbhclc,3a820eee-f69e-403d-a972-29c4529ec582
cons_total_day_target_website,Total Day Target Website,"The sum of the daily target values for website performance, indicating the cumulative goal for website-related metrics over the reporting period. This metric helps in assessing whether daily website performance objectives are being met.",SUM(t0.day_target_website),[],t0_qt_5qq1pz2wwc,3a820eee-f69e-403d-a972-29c4529ec582
cons_total_subscription_movement,Total Subscription Movement,"The aggregate count of all changes within the subscriber base, including both new subscriptions (adds) and cancelled subscriptions (cancels). This metric quantifies the total volume of activity related to subscriber acquisition and attrition over a given period, providing a holistic view of audience base volatility.",SUM(t0_subscription_details.detail_subscription_movement_count),"[{'gcp_project': '[YOUR_GCP_PROJECT_ID_HERE]', 'dataset': '[YOUR_GCP_DATASET_ID_HERE]', 'table': 'subscription_details'}]",t0_qt_lc7o9e89od,e642b3f9-9711-44c8-b2d8-959ded9f5b0d
cons_total_event_count,Total Event Count,"The total number of recorded events within the analytics system, encompassing all event types and variants.",COUNT(1),"[{'gcp_project': None, 'dataset': None, 'table': None}]",t0c0d1_qt_s926bf1bxc;t0c1d1_qt_s926bf1bxc,7311af2c-89f8-4279-97b4-94ddb886964b
cons_verity_user_count,Verity 2.0 User Count,The total count of unique users associated with the Verity 2.0 platform.,COUNT(1),"[{'gcp_project': None, 'dataset': None, 'table': None}]",t0_qt_x7iu2snbxc,7311af2c-89f8-4279-97b4-94ddb886964b
cons_total_consumer_adds,Total Consumer Adds,"The cumulative sum of all consumer 'add' actions or subscriptions, indicating new engagements.",SUM(t0.adds),"[{'gcp_project': None, 'dataset': None, 'table': None}]",t0_qt_26jjpyz08c,7311af2c-89f8-4279-97b4-94ddb886964b
cons_total_consumer_cancels,Total Consumer Cancels,"The cumulative sum of all consumer 'cancel' actions or unsubscribes, indicating disengagements.",SUM(t0.cancels),"[{'gcp_project': None, 'dataset': None, 'table': None}]",t0_qt_36jjpyz08c,7311af2c-89f8-4279-97b4-94ddb886964b
cons_net_consumer_activity,Net Consumer Adds/Cancels,"The net change in consumer activity, calculated as the difference between total adds and total cancels.",SUM((t0.adds - t0.cancels)),"[{'gcp_project': None, 'dataset': None, 'table': None}]",t0_qt_46jjpyz08c,7311af2c-89f8-4279-97b4-94ddb886964b
cons_adjusted_gross_revenue,Adjusted Gross Revenue,"The total revenue generated from Adpoint line items, calculated by summing the gross revenue before adjustments and any subsequent adjustment amounts.",SUM(t0.gross_revenue_ex_adj_amount + t0.adjustment_amount),"[{'gcp_project': 'adpoint_project', 'dataset': 'adpoint_data', 'table': 'line_items'}]",t0_qt_5m78n97ukd,d768f28d-cc4a-4314-b972-cffd680d1bb8
cons_min_calendar_month,Minimum Calendar Month,"The earliest calendar month present in the Adpoint line items dataset, represented as a numeric value.",MIN(SAFE_CAST(t0.calendar_month AS FLOAT64)),"[{'gcp_project': 'adpoint_project', 'dataset': 'adpoint_data', 'table': 'line_items'}]",t0_qt_a11r6fs1sd,d768f28d-cc4a-4314-b972-cffd680d1bb8
cons_distinct_plus_rewards_contact_count,Distinct Plus Rewards Contact Count,The total count of unique contacts identified as participants or members of the 'Plus Rewards' program.,COUNT(DISTINCT t0.contact_id),[],t0_qt_7lgxwt0qld;t0_qt_9i4hvt0qld;t0_qt_i16fxt0qld;t0_qt_wxh9vs0qld;t0_qt_yx08vt0qld;t0_qt_e9w8mhvbkd,4b158218-2a09-443c-929a-a7f5dae09979
cons_total_traffic_count,Total Traffic Count,"Represents the aggregate count of all traffic events or sessions recorded. This metric serves as a foundational measure of user activity and reach, providing the base volume against which conversion rates or other engagement metrics can be calculated. It can be segmented by various dimensions such as channel, date, or masthead to understand traffic sources and patterns.",SUM(t0.traffic_count),"[{'gcp_project': 'project_id_placeholder', 'dataset': 'dataset_name_placeholder', 'table': 'traffic_data_table_placeholder'}]",t0_qt_nhw2hzzgvd;t0_qt_4jqphriavd,83a1c0b2-67b2-4d3e-8bc4-98a9f3683ad1
cons_total_orders,Total Orders,"The total count of individual orders recorded within a specified scope. This metric serves as a fundamental measure of sales volume and operational activity, allowing for segmentation by various dimensions such as sales channel, time period, customer type, and product category.",COUNT(1),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_sales_dataset', 'table': 'orders_table'}]",t0_qt_xpd8zmh4hd;t0_qt_czwk08g4hd;t0_qt_zzw3r9g4hd,1b29c0eb-ab01-4e6f-b3f6-8161f5d3c669
cons_total_health_registrations,Total Health-Related Registrations,"The total count of all health-related registrations recorded, encompassing all regions and syndication types. This metric serves as the foundational count from which specific segments (e.g., regional, syndication-based) can be derived through appropriate filtering.",COUNT(1),[],t0_qt_r93oq36xmd;t0_qt_2uiercfxmd,89140d65-10c7-4de8-9dfa-f5585b101519
cons_day_target_by_section_team,Day Target by Section Team,"The sum of all daily performance targets assigned to a specific section team, reflecting their collective goal for a given day.",SUM(day_target_by_section_team),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table'}]",t0c0d1_qt_5acixz47wc,70dc50c7-72fe-4268-8e22-6de00e463d20
cons_day_target_by_publication_group,Day Target by Publication Group,"The sum of all daily performance targets assigned to a specific publication group, representing their collective goal for a given day.",SUM(day_target_by_publication_group),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table'}]",t0c0d1_qt_dbs6ow47wc;t0_qt_jrxn4ddclc,70dc50c7-72fe-4268-8e22-6de00e463d20
cons_supercoach_acquisitions,Total SuperCoach Acquisitions,The total count of new Free or Complimentary SuperCoach subscriptions acquired within the reporting period.,SUM(t0.acquisition_count),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'supercoach_subscription_events'}]",t0_qt_6a2rkveopd,77631717-5cc6-4903-87bd-7314bf461243
cons_supercoach_cancellations,Total SuperCoach Cancellations,The total count of Free or Complimentary SuperCoach subscriptions that were cancelled within the reporting period.,SUM(t0.cancellation_count),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'supercoach_subscription_events'}]",t0_qt_p4vrkveopd,77631717-5cc6-4903-87bd-7314bf461243
cons_supercoach_subscription_movements,Total SuperCoach Subscription Movements,"The total count of all recorded subscription movements (e.g., acquisitions, cancellations, upgrades, downgrades, etc.) for Free or Complimentary SuperCoach subscriptions. This metric represents the raw count of events in the underlying subscription movement log and can be further broken down by dimensions such as classification level or sold channel in reporting.",COUNT(1),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'supercoach_subscription_events'}]",t0_qt_319mockopd;t0_qt_o98rkveopd;t0_qt_6nbpkckopd,77631717-5cc6-4903-87bd-7314bf461243
cons_total_content_registrations,Total Content Registrations,"The total count of unique content registrations recorded across all articles, sections, and acquisition channels. This metric represents the fundamental volume of user sign-ups or engagements with content.",COUNT(1),[],t0_qt_dpcn9c2skd;t0_qt_36kn9c2skd;t0_qt_vdan9c2skd,43bb6e05-d417-49e0-870f-e51fa1b31b59
cons_subscriber_count_taus,Subscriber Count (TAUS Consumer),The total number of active subscribers for the TAUS consumer segment at a given point in time.,SUM(t0.subscriber_count),"[{'gcp_project': None, 'dataset': None, 'table': None}]",t0_qt_cmp1wcm6id,736e39be-8b74-442d-bf5a-0b75971e3de0
cons_total_additions_ta_consumer,Total Additions (TA Consumer),The total number of new subscriber additions for the TA consumer segment within a specified reporting period.,SUM(SAFE_CAST(t0.total_additions AS FLOAT64)),"[{'gcp_project': None, 'dataset': None, 'table': None}]",t0_qt_96scwyi19c,736e39be-8b74-442d-bf5a-0b75971e3de0
cons_total_cancels_ta_consumer,Total Cancels (TA Consumer),The total number of subscriber cancellations for the TA consumer segment within a specified reporting period.,SUM(SAFE_CAST(t0.total_cancels AS FLOAT64)),"[{'gcp_project': None, 'dataset': None, 'table': None}]",t0_qt_a7scwyi19c,736e39be-8b74-442d-bf5a-0b75971e3de0
cons_net_movement_ta_consumer,Net Movement (TA Consumer),"The net change in subscriber count for the TA consumer segment within a specified reporting period, calculated as total additions minus total cancellations.",SUM(SAFE_CAST(t0.total_additions AS FLOAT64) - SAFE_CAST(t0.total_cancels AS FLOAT64)),"[{'gcp_project': None, 'dataset': None, 'table': None}]",t0_qt_b7scwyi19c,736e39be-8b74-442d-bf5a-0b75971e3de0
cons_subscription_target_date,Subscription Target Date,"A specific target date associated with subscription-related goals, milestones, or reporting periods.","PARSE_DATE('%Y%m%d', SAFE_CAST(t0.targetdate AS STRING))","[{'gcp_project': None, 'dataset': None, 'table': None}]",t0_qt_sqkwlf9rid,736e39be-8b74-442d-bf5a-0b75971e3de0
cons_financial_month_record_count,Count of Records by Financial Month,"Counts the number of records associated with a valid financial month, as defined by the mapping of short month names to financial month numbers. This metric is typically used to understand data volume per financial period or to ensure data completeness for specific months.",COUNT(CASE WHEN (t0.financial_short_month = 'Jul') THEN 1 WHEN (t0.financial_short_month = 'Aug') THEN 2 WHEN (t0.financial_short_month = 'Sep') THEN 3 WHEN (t0.financial_short_month = 'Oct') THEN 4 WHEN (t0.financial_short_month = 'Nov') THEN 5 WHEN (t0.financial_short_month = 'Dec') THEN 6 WHEN (t0.financial_short_month = 'Jan') THEN 7 WHEN (t0.financial_short_month = 'Feb') THEN 8 WHEN (t0.financial_short_month = 'Mar') THEN 9 WHEN (t0.financial_short_month = 'Apr') THEN 10 WHEN (t0.financial_short_month = 'May') THEN 11 WHEN (t0.financial_short_month = 'Jun') THEN 12 ELSE NULL END),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table_t0_alias'}]",t0___LEGO_COUNT_qt_238620j9jd,80ca81f3-0671-40ef-a0a9-825a1580ca1b
cons_financial_month_number_sum,Sum of Financial Month Numbers,"Calculates the sum of the derived financial month numbers for all relevant records. This metric's business utility is highly questionable and should be reviewed for deprecation or redefinition, as summing ordinal month numbers typically lacks meaningful business interpretation and may indicate a data modeling or metric design flaw.",SUM(CASE WHEN (t0.financial_short_month = 'Jul') THEN 1 WHEN (t0.financial_short_month = 'Aug') THEN 2 WHEN (t0.financial_short_month = 'Sep') THEN 3 WHEN (t0.financial_short_month = 'Oct') THEN 4 WHEN (t0.financial_short_month = 'Nov') THEN 5 WHEN (t0.financial_short_month = 'Dec') THEN 6 WHEN (t0.financial_short_month = 'Jan') THEN 7 WHEN (t0.financial_short_month = 'Feb') THEN 8 WHEN (t0.financial_short_month = 'Mar') THEN 9 WHEN (t0.financial_short_month = 'Apr') THEN 10 WHEN (t0.financial_short_month = 'May') THEN 11 WHEN (t0.financial_short_month = 'Jun') THEN 12 ELSE NULL END),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table_t0_alias'}]",t0___LEGO_SUM_qt_238620j9jd,80ca81f3-0671-40ef-a0a9-825a1580ca1b
cons_current_fy_gross_revenue_thousands,Gross Revenue (Thousands) for Current Fiscal Year,"Represents the total gross revenue, expressed in thousands, specifically for the current fiscal year. This metric is crucial for assessing immediate financial performance and sales team effectiveness within the current reporting period.","SUM(SAFE_DIVIDE(CASE WHEN (t0.relative_fy_year_offset = 0) THEN t0.gross_revenue_amount ELSE 0 END, 1000))","[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table_t0_alias'}]",t0_qt_ck7620j9jd,80ca81f3-0671-40ef-a0a9-825a1580ca1b
cons_sum_daily_website_target,Sum of Daily Website Target,"The total sum of the daily website targets set for the newsroom, representing the aggregate goal for website performance over a given period. This metric is crucial for assessing whether the newsroom is on track to meet its digital audience engagement objectives.",SUM(t0.day_target_website),"[{'gcp_project': 'unknown_gcp_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table_t0'}]",t0_qt_u1omb3bqpc,abe67573-53fb-4cc2-a622-5cb9aa208166
cons_c_score_target_sum,Sum of C-Score Target,"Represents the sum of the C-Score Target, a key performance indicator within the Verity 2.0 system. This metric can be aggregated or filtered by various dimensions such as publication group or specific business networks to provide targeted insights.",SUM(clmn0_),[],t0_qt_j2b9jbhclc;t0_qt_329dzg9ilc,41f3dfc4-db10-4e4a-9627-1261e9286fd0
cons_total_abc_volume,Total ABC Volume,Represents the total measured volume attributed to ABC content or platform.,SUM(clmn0_),[],t0_qt_bvtdspreud,4e1ed0ba-1904-40e6-9841-57377cd9cb53
cons_total_news_com_au_volume,Total News Com Au Volume,Represents the total measured volume attributed to News.com.au content or platform.,SUM(clmn1_),[],t0_qt_gnixsycdud,4e1ed0ba-1904-40e6-9841-57377cd9cb53
cons_total_nine_news_com_au_volume,Total Nine News Com Au Volume,Represents the total measured volume attributed to Nine News.com.au content or platform.,SUM(clmn2_),[],t0_qt_afjxsycdud,4e1ed0ba-1904-40e6-9841-57377cd9cb53
cons_total_seven_news_volume,Total Seven News Volume,Represents the total measured volume attributed to Seven News content or platform.,SUM(clmn3_),[],t0_qt_hnixsycdud,4e1ed0ba-1904-40e6-9841-57377cd9cb53
cons_news_com_au_volume_gap_abc,News Com Au Volume Gap (vs ABC),"Calculates the difference in measured volume between News.com.au and ABC, indicating the gap or surplus of News.com.au relative to ABC.",SUM(clmn1_ - clmn0_),[],t0_qt_dexawqreud,4e1ed0ba-1904-40e6-9841-57377cd9cb53
cons_news_com_au_volume_gap_seven,News Com Au Volume Gap (vs Seven News),"Calculates the difference in measured volume between News.com.au and Seven News, indicating the gap or surplus of News.com.au relative to Seven News.",SUM(clmn1_ - clmn3_),[],t0_qt_mu5jafedud,4e1ed0ba-1904-40e6-9841-57377cd9cb53
cons_news_com_au_volume_gap_nine,News Com Au Volume Gap (vs Nine News Com Au),"Calculates the difference in measured volume between News.com.au and Nine News.com.au, indicating the gap or surplus of News.com.au relative to Nine News.com.au.",SUM(clmn1_ - clmn2_),[],t0_qt_n8f2ciedud,4e1ed0ba-1904-40e6-9841-57377cd9cb53
cons_verity_2_0_filtered_users_count,Count of Filtered Verity 2.0 Users,"Represents the total number of unique users within the Verity 2.0 system who satisfy specific, predefined filtering criteria. This metric is intended to track engagement or specific user segment sizes on a weekly basis, providing insight into the active or targeted user base.",COUNT(1),[],t0_qt_x7iu2snbxc,c9b68cfe-7e00-4414-beaf-839ae216cc14
cons_c_score_target_sum,Total C-Score Target,Represents the aggregated sum of the C-Score target for the 'HS' segment. This metric is used to define and track the daily target value against which actual C-Scores are likely compared.,SUM(t0.c_score_target),[],t0_qt_j2b9jbhclc,1147dd47-ccea-49cb-bff0-6019f3249bc9
cons_total_subscribers,Total Subscriber Count,The total number of unique subscribers registered for 'The Courier-Mail'. This represents the entire subscriber base.,SUM(t0.subscriber_count),"[{'gcp_project': 'your-gcp-project', 'dataset': 'audience_insights', 'table': 'subscriber_engagement'}]",t0_D18148823726537076701,b084f975-486d-4a17-af39-3c20dd915f63
cons_total_active_subscribers,Total Active Subscriber Count,"The total number of subscribers who are considered active based on a predefined, general activity metric. This metric relies on a pre-calculated 'active_subscriber_count' column.",SUM(t0.active_subscriber_count),"[{'gcp_project': 'your-gcp-project', 'dataset': 'audience_insights', 'table': 'subscriber_engagement'}]",t0_qt_x50hivfbbd,b084f975-486d-4a17-af39-3c20dd915f63
cons_active_weekly_subscribers,Active Weekly Subscriber Count,The count of subscribers who have demonstrated consistent engagement by being active in all of the last four weeks (28 days). This is a specific measure of highly engaged subscribers.,SUM(CASE WHEN t0.subscriber_last_28_days_active_weeks_count = 4 THEN t0.subscriber_count ELSE 0 END),"[{'gcp_project': 'your-gcp-project', 'dataset': 'audience_insights', 'table': 'subscriber_engagement'}]",t0_D14893709501956091136,b084f975-486d-4a17-af39-3c20dd915f63
cons_total_day_target_website,Total Day Target Website,"The aggregated sum of the daily target values established for a specific website, representing the cumulative goal or achievement for a given period within the newsroom's sports content operations. This metric is crucial for assessing performance against set daily objectives.",SUM(day_target_website),"[{'gcp_project': 'verity-newsroom-project', 'dataset': 'newsroom_targets', 'table': 'daily_website_targets'}]",t0_qt_6rhew8ftxc,5645b0e9-2850-4984-b808-b90bcb74ed92
cons_acquisition_count,Acquisition Count,"Represents the total count of new acquisitions or subscriptions for the 'Newpass' product or service. This metric serves as a foundational measure for understanding customer growth and can be filtered by various dimensions (e.g., publication, channel) at the reporting layer.",SUM(t0.acquisition_count),"[{'gcp_project': 'newpass_project', 'dataset': 'newpass_data', 'table': 'acquisitions'}]",t0_qt_70j1ocqbkd;t0_qt_70j1ocqbkd_filtered,7888a780-7777-411b-b07b-398b87d2cfd0
cons_total_newsletter_sends,Total Newsletter Sends,The total count of newsletters sent to recipients within a given reporting period. This metric quantifies the volume of email-based newsletter distributions.,SUM(t0.total_send),[],t0_qt_9ghr4otgsd,c902dea7-7c03-4995-a4f5-56ff4f6f5635
cons_total_sms_sent,Total SMS Sent,The total count of SMS (Short Message Service) messages successfully sent to recipients within a given reporting period. This metric quantifies the volume of text message communications.,SUM(t0.sent),[],t0_qt_uoo4y9t1pd,c902dea7-7c03-4995-a4f5-56ff4f6f5635
cons_homepage_instances,Homepage Instances,"The total count of instances specifically attributed to the homepage, indicating engagement with the primary landing page.",SUM(CASE WHEN (t0.data_type = 'Homepage') THEN t0.instances ELSE NULL END),"[{'gcp_project': 'your-gcp-project', 'dataset': 'your-dataset', 'table': 'your-table_name'}]",t0_qt_87ke4vuavd,8a7be976-10d2-4657-aa8a-8bcbcb4c4cd7
cons_total_instances,Total Instances,"The total count of all instances across all data types or sections of the website, representing overall content consumption or page views.",SUM(t0.instances),"[{'gcp_project': 'your-gcp-project', 'dataset': 'your-dataset', 'table': 'your-table_name'}]",t0_qt_e7zcx8uztd,8a7be976-10d2-4657-aa8a-8bcbcb4c4cd7
cons_total_visits,Total Visits,"The total number of user visits recorded across the website, indicating overall traffic volume.",SUM(t0.visits),"[{'gcp_project': 'your-gcp-project', 'dataset': 'your-dataset', 'table': 'your-table_name'}]",t0_qt_6gjhhwxytd,8a7be976-10d2-4657-aa8a-8bcbcb4c4cd7
cons_unique_visit_dates,Unique Visit Dates,"The count of distinct dates on which visits occurred, providing an understanding of the number of active days for the website.",COUNT(DISTINCT t0.visit_date),"[{'gcp_project': 'your-gcp-project', 'dataset': 'your-dataset', 'table': 'your-table_name'}]",t0_qt_8ql9dxxytd,8a7be976-10d2-4657-aa8a-8bcbcb4c4cd7
cons_gross_revenue,Gross Revenue,"The total gross revenue generated from all ad sales and events, representing the top-line income before any deductions or adjustments. This metric consolidates various redundant definitions of gross revenue found across the dashboard.",SUM(gross_revenue_amount),[],t0_qt_ijxv7ribnd;t0_qt_nxylwokxqd;t0_qt_zl6hc5jxqd;t0_qt_huguuqmwnd,e83da1de-4227-43e6-bcc6-73051c66914b
cons_total_c_score_target,Total C-Score Target,"Represents the sum of all 'C-Score' targets, indicating the aggregated goal or benchmark for a specific period or segment. The 'C-Score' itself is an internal performance indicator, potentially related to content quality, customer satisfaction, or compliance, as defined by the business.",SUM(t0.c_score_target),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table'}]",t0_qt_73ldtxh0lc,57a6a6b6-710d-4258-968d-35ab9a7704e5
