variable_type,hardcoded_values,context,suggested_governance,impact,maintenance_risk,response_id,dashboard_id,issue_type,hardcoded_values_count,hardcoded_values_text,date_value,original_format,suggested_fix,urgency
business_rules,"[""'CONSORTIUM NSW'"", ""'KEY ACCOUNTS NSW RETAIL'"", ""'DIRECT NSW'"", ""'INDEPENDENT AGENCIES NSW'"", ""'PRESTIGE'""]",Specific sales segments mapped to 'Ian Paterson'.,Manage GM assignments in a dedicated mapping table.,high,high,10,1a5f7b4e-ea3a-46e4-8b77-b428f4178510,hardcoded_variable,5.0,"'CONSORTIUM NSW', 'KEY ACCOUNTS NSW RETAIL', 'DIRECT NSW', 'INDEPENDENT AGENCIES NSW', 'PRESTIGE'",,,,
conditional_logic,"[""'$' = '$'"", ""'$\\'000' = '$'"", ""'1' = '1'"", ""'1' = '2'"", ""'1' = '3'""]","Redundant or always true/false conditions in CASE statements, indicating potential legacy or unused logic.",Refactor queries to remove these redundant conditions for clarity and efficiency.,low,low,10,1a5f7b4e-ea3a-46e4-8b77-b428f4178510,hardcoded_variable,5.0,"'$' = '$', '$\'000' = '$', '1' = '1', '1' = '2', '1' = '3'",,,,
lookup_codes,"[""'SUNDRY ADSALES OVERLAY'""]",Specific revenue group subtype used as a filter.,Replace with a parameter or join to a `revenue_group_subtype_lookup` table.,high,high,11,3ee20092-1897-49b7-8bcd-4157d5f816eb,hardcoded_variable,1.0,'SUNDRY ADSALES OVERLAY',,,,
business_rules,"[""'2025'"", ""'2024'""]",Specific financial years used as filters.,"Replace with dynamic calculations (e.g., `CURRENT_FINANCIAL_YEAR`, `PREVIOUS_FINANCIAL_YEAR`) or dashboard parameters.",high,high,11,3ee20092-1897-49b7-8bcd-4157d5f816eb,hardcoded_variable,2.0,"'2025', '2024'",,,,
business_rules,"['47', '48', '49', '50', '51', '52']",Specific financial weeks excluded from analysis (likely end-of-year/holiday weeks).,Define these weeks in a configuration table or derive them dynamically based on a financial calendar.,medium,medium,11,3ee20092-1897-49b7-8bcd-4157d5f816eb,hardcoded_variable,6.0,"47, 48, 49, 50, 51, 52",,,,
business_rules,"['0 (for @reporting_mth)', '1 (for @customer_retention_type)', '0.01 (for blank_portfolio_flag threshold)', '1 (for retention logic thresholds)']",Parameters and thresholds for derived dimensions and metrics are hardcoded in the SQL.,These values should be externalized as Looker Studio parameters or configuration tables.,high,high,12,155c4518-72bf-4309-a0e9-240dd564f421,hardcoded_variable,4.0,"0 (for @reporting_mth), 1 (for @customer_retention_type), 0.01 (for blank_portfolio_flag threshold), 1 (for retention logic thresholds)",,,,
lookup_codes,"[""'DESIREE DURRANT'"", ""'CHRIS JEFFS'"", ""'PRINT'"", ""'XTEND'"", ""'The Australian & Prestige'"", ""'State & Communities'"", ""'Free News & Lifestyle'"", ""'Client'"", ""'Commercial Content'"", ""'Group Functions'"", ""'Others'"", ""'Unknown'"", ""'NEW BUSINESS'"", ""'RETAINED'"", ""'INACTIVE'"", ""'LAPSED'"", ""'Other'"", ""'All'""]","Specific GSD names, revenue/ad types, product group names, and customer status categories are hardcoded.",Use Looker Studio filter controls for GSD names. Map product groups and customer statuses using governed reference tables.,medium,medium,12,155c4518-72bf-4309-a0e9-240dd564f421,hardcoded_variable,18.0,"'DESIREE DURRANT', 'CHRIS JEFFS', 'PRINT', 'XTEND', 'The Australian & Prestige', 'State & Communities', 'Free News & Lifestyle', 'Client', 'Commercial Content', 'Group Functions', 'Others', 'Unknown', 'NEW BUSINESS', 'RETAINED', 'INACTIVE', 'LAPSED', 'Other', 'All'",,,,
lookup_codes,"[""'Admin.ADV'"", ""'Admin.DTM'"", ""'Admin.HWT'"", ""'Admin.International'"", ""'Admin.Sales'"", ""'Admin.Sport'"", ""'Admin.TCM'"", ""'Bestrecipes.Admin'"", ""'Bodyandsoul.Admin'"", ""'CODE'"", ""'CodeBet'"", ""'Delicious.admin'"", ""'Escape.Admin'"", ""'GQ.Admin'"", ""'Kidspot.Admin'"", ""'National Sundry'"", ""'National Tabloid PrePrint'"", ""'News.Admin'"", ""'odds.com.au'"", ""'Punters.com.au'"", ""'Qantas Travel Insider'"", ""'RACENET'"", ""'Shortlyster Managed Service'"", ""'Sky News'"", ""'SKYNEWS.ADMIN'"", ""'Stellar.Admin'"", ""'Stockhead'"", ""'SUDDENLY.CW'"", ""'SUDDENLY.NORTH'"", ""'SUDDENLY.TGG'"", ""'Taste.Admin'"", ""'TAUS.ADMIN'"", ""'The Sunday Times'"", ""'TOOWOOMBACUSTOM'"", ""'Vogue.Admin'"", ""'Vogueliving.Admin'""]",List of unified_publication_name values used to classify 'Sundry Pubs'.,"Move this list to a dedicated reference table (e.g., `dim_publication_type`) and join to it.",high,high,13,4bd7954c-5a94-4fb6-92e1-ed152b1cf7b3,hardcoded_variable,36.0,"'Admin.ADV', 'Admin.DTM', 'Admin.HWT', 'Admin.International', 'Admin.Sales', 'Admin.Sport', 'Admin.TCM', 'Bestrecipes.Admin', 'Bodyandsoul.Admin', 'CODE', 'CodeBet', 'Delicious.admin', 'Escape.Admin', 'GQ.Admin', 'Kidspot.Admin', 'National Sundry', 'National Tabloid PrePrint', 'News.Admin', 'odds.com.au', 'Punters.com.au', 'Qantas Travel Insider', 'RACENET', 'Shortlyster Managed Service', 'Sky News', 'SKYNEWS.ADMIN', 'Stellar.Admin', 'Stockhead', 'SUDDENLY.CW', 'SUDDENLY.NORTH', 'SUDDENLY.TGG', 'Taste.Admin', 'TAUS.ADMIN', 'The Sunday Times', 'TOOWOOMBACUSTOM', 'Vogue.Admin', 'Vogueliving.Admin'",,,,
business_rules,"['0', '1']","Numeric offsets (0 for current FY, 1 for previous FY) used to determine fiscal year context.",Derive fiscal year context from a fiscal calendar dimension table that maps dates to fiscal years and relative offsets.,medium,medium,13,4bd7954c-5a94-4fb6-92e1-ed152b1cf7b3,hardcoded_variable,2.0,"0, 1",,,,
filters,"[""'The Australian & Prestige'"", ""'PRINT'"", ""'GQ Mag'""]","Specific values used to filter product_group, revenue_type, and unified_publication_name.",Replace with Looker Studio parameters or allow dynamic selection by users.,medium,low,13,4bd7954c-5a94-4fb6-92e1-ed152b1cf7b3,hardcoded_variable,3.0,"'The Australian & Prestige', 'PRINT', 'GQ Mag'",,,,
other,"[""'$'000' = '$'""]","Conditional logic for unit conversion (thousands) that evaluates to false, effectively hardcoding the output to thousands.",Remove this dead code or implement a proper dynamic unit conversion mechanism.,low,low,13,4bd7954c-5a94-4fb6-92e1-ed152b1cf7b3,hardcoded_variable,1.0,'$'000' = '$',,,,
lookup_codes,"[""'Deal'"", ""'pmp'"", ""'PG - CPM'"", ""'AG'"", ""'PMP_DEAL'"", ""'RTB'"", ""'PG - CPD'"", ""'Open Auction'"", ""'Unknown'"", ""'UFR'""]",TransactionType values hardcoded in CASE statement for grouping,join to a `transaction_type_lookup` table with 'TransactionType' and 'TransactionTypeGroup' columns,high,high,14,b15d856f-e3ce-4991-bf2a-92395390524f,hardcoded_variable,10.0,"'Deal', 'pmp', 'PG - CPM', 'AG', 'PMP_DEAL', 'RTB', 'PG - CPD', 'Open Auction', 'Unknown', 'UFR'",,,,
lookup_codes,"[""'GAD RAM A1'"", ""'HBT RAM A1'"", ""'VIC DIRECT A7'"", ""'VIC DIRECT A8'"", ""'VIC DIRECT A9'""]",portfolio_conformed_name_sync values hardcoded in WHERE clause for filtering `advertiser_name`.,"These values should be managed in a governed reference table (e.g., `portfolio_lookup`) and joined, or passed as parameters from the dashboard.",medium,high,15,80ca81f3-0671-40ef-a0a9-825a1580ca1b,hardcoded_variable,5.0,"'GAD RAM A1', 'HBT RAM A1', 'VIC DIRECT A7', 'VIC DIRECT A8', 'VIC DIRECT A9'",,,,
,,financial_year filter in query 1,,high,,16,c560ed20-040d-4c6a-9c3f-ec8bce27d132,hardcoded_date,,,202,string,Map to a standard date range or use a parameter for financial year selection.,high
,,calendar_year exclusion in query 2,,medium,,16,c560ed20-040d-4c6a-9c3f-ec8bce27d132,hardcoded_date,,,2022,string,"Replace with relative date logic (e.g., `EXTRACT(YEAR FROM CURRENT_DATE()) - 2`) or a parameter.",medium
,,calendar_year inclusion in query 3,,medium,,16,c560ed20-040d-4c6a-9c3f-ec8bce27d132,hardcoded_date,,,2024,string,"Replace with relative date logic (e.g., `EXTRACT(YEAR FROM CURRENT_DATE())`) or a parameter.",medium
,,calendar_year inclusion in query 3,,medium,,16,c560ed20-040d-4c6a-9c3f-ec8bce27d132,hardcoded_date,,,2025,string,"Replace with relative date logic (e.g., `EXTRACT(YEAR FROM CURRENT_DATE()) + 1`) or a parameter.",medium
business_rules,"[""'Medium Rare Content Agency'""]",Exclusion filter for source_publishing_division across all queries.,Manage excluded divisions in a configuration table or parameter.,high,high,16,c560ed20-040d-4c6a-9c3f-ec8bce27d132,hardcoded_variable,1.0,'Medium Rare Content Agency',,,,
categories,"[""'Billed'"", ""'Booked'""]",Inclusion filter for revenue_transaction_status across all queries.,Use a lookup table for transaction statuses or a parameter for selection.,medium,medium,16,c560ed20-040d-4c6a-9c3f-ec8bce27d132,hardcoded_variable,2.0,"'Billed', 'Booked'",,,,
categories,"[""'Digital'"", ""'Print'""]",Inclusion filter for revenue_group_subtype in queries 2 and 3.,Use a lookup table for revenue group subtypes or a parameter for selection.,medium,medium,16,c560ed20-040d-4c6a-9c3f-ec8bce27d132,hardcoded_variable,2.0,"'Digital', 'Print'",,,,
lookup_codes,"[""'INTERNAL PUIG Oceania'"", ""'PUIG Oceania'"", ""'Greyhound Racing Victoria'""]",Specific advertiser_name inclusions in queries 2 and 3.,Manage advertiser lists in a reference table or use dashboard parameters for selection.,high,high,16,c560ed20-040d-4c6a-9c3f-ec8bce27d132,hardcoded_variable,3.0,"'INTERNAL PUIG Oceania', 'PUIG Oceania', 'Greyhound Racing Victoria'",,,,
,,"Used as a fixed 'current date' reference point for calculating previous year dates (e.g., -365 days).",,high,,17,fed70b12-c274-4cde-9920-592ca4c4dab0,hardcoded_date,,,2025-05-23,"DATE(TIMESTAMP '2025-05-23 01:19:32.916346+00', 'Australia/Sydney')",Replace with CURRENT_DATE() or a dashboard date parameter to make the report dynamic and current.,high
,,"Used as a fixed 'current date' reference point for calculating previous year dates (e.g., -365 days).",,high,,17,fed70b12-c274-4cde-9920-592ca4c4dab0,hardcoded_date,,,2025-06-22,"DATE(TIMESTAMP '2025-06-22 22:46:58.786738+00', 'Australia/Sydney')",Replace with CURRENT_DATE() or a dashboard date parameter to make the report dynamic and current.,high
business_rules,"[""'PROGRAMMATIC EXCHANGE'""]",Used in WHERE clause to exclude a specific revenue group subtype.,Manage excluded revenue subtypes in a configuration table or a governed list that can be joined or referenced.,medium,medium,17,fed70b12-c274-4cde-9920-592ca4c4dab0,hardcoded_variable,1.0,'PROGRAMMATIC EXCHANGE',,,,
lookup_codes,"[""'Jan'"", ""'Feb'"", ""'Mar'"", ""'Apr'"", ""'May'"", ""'Jun'"", ""'Jul'"", ""'Aug'"", ""'Sep'"", ""'Oct'"", ""'Nov'"", ""'Dec'""]",Mapping calendar month short names to month numbers.,"While common, if month names or mappings change, this requires code modification. A date dimension table would contain this mapping.",low,low,17,fed70b12-c274-4cde-9920-592ca4c4dab0,hardcoded_variable,12.0,"'Jan', 'Feb', 'Mar', 'Apr', 'May', 'Jun', 'Jul', 'Aug', 'Sep', 'Oct', 'Nov', 'Dec'",,,,
lookup_codes,"[""'Q1'"", ""'Q2'"", ""'Q3'"", ""'Q4'""]",Mapping financial months to financial quarters.,"Similar to month names, if fiscal quarter definitions change, this requires code modification. A fiscal calendar dimension table would be ideal.",low,low,17,fed70b12-c274-4cde-9920-592ca4c4dab0,hardcoded_variable,4.0,"'Q1', 'Q2', 'Q3', 'Q4'",,,,
business_rules,"[""'FY'""]",Used in `CASE WHEN ('FY' = 'FY') THEN ... ELSE ... END` which is always true. This indicates a redundant condition or a placeholder for a parameter that was never implemented.,"Remove the redundant `CASE WHEN` or replace with a dashboard parameter (e.g., `fiscal_year_flag`) if the intention was to switch between fiscal and calendar logic.",medium,medium,17,fed70b12-c274-4cde-9920-592ca4c4dab0,hardcoded_variable,1.0,'FY',,,,
,,Start date for filtering subscription movements,,high,,18,6e8b534b-485a-48dd-842d-13dc6bebb01a,hardcoded_date,,,2024-07-01,DATE '2024-07-01',"replace with dashboard date parameter or relative date function (e.g., DATE_SUB(CURRENT_DATE(), INTERVAL X DAY))",high
,,End date for filtering subscription movements,,high,,18,6e8b534b-485a-48dd-842d-13dc6bebb01a,hardcoded_date,,,2024-08-19,DATE '2024-08-19',"replace with dashboard date parameter or relative date function (e.g., CURRENT_DATE())",high
business_rules,"[""'SC'""]",Filtering for 'SuperCoach' masthead,Use a parameter for masthead selection or join to a governed 'masthead_lookup' table if multiple mastheads are expected.,medium,medium,18,6e8b534b-485a-48dd-842d-13dc6bebb01a,hardcoded_variable,1.0,'SC',,,,
business_rules,"[""'acquisition'""]",Filtering for 'acquisition' movement type,Use a parameter for movement type selection or join to a governed 'movement_type_lookup' table.,medium,medium,18,6e8b534b-485a-48dd-842d-13dc6bebb01a,hardcoded_variable,1.0,'acquisition',,,,
lookup_codes,"[""'SC_SDO_AP24AM12'"", ""'SC_SDO_AP20AM12'""]",Specific rate plan codes used for filtering,"These product/rate plan codes should be managed in a 'product_master' or 'rate_plan_lookup' table and joined, rather than hardcoded.",high,high,18,6e8b534b-485a-48dd-842d-13dc6bebb01a,hardcoded_variable,2.0,"'SC_SDO_AP24AM12', 'SC_SDO_AP20AM12'",,,,
lookup_codes,['2452260'],Specific subscriber ID used for filtering,This is likely a specific filter selected by the user. It should be a dashboard parameter or filter control.,medium,low,18,6e8b534b-485a-48dd-842d-13dc6bebb01a,hardcoded_variable,1.0,2452260,,,,
lookup_codes,"[""'CS'""]",Specific source masthead prefix used for filtering,"If 'CS' represents a category, it should be defined in a 'source_masthead_prefix_lookup' table and joined.",medium,medium,18,6e8b534b-485a-48dd-842d-13dc6bebb01a,hardcoded_variable,1.0,'CS',,,,
,,Used as a baseline date in DATETIME_DIFF calculations to determine week differences. This date is fixed and does not dynamically adjust.,,high,,20,2104a3f5-9424-4087-a928-e67fecae789a,hardcoded_date,,,2024-07-03,2024-07-03T00:00:00,"Replace with a dynamic fiscal year start date from a calendar dimension table or a parameter. E.g., `(SELECT MIN(fy_first_day_of_week) FROM v_asl_DIM_calendar WHERE fy_year = EXTRACT(YEAR FROM CURRENT_DATE()))` or a dashboard parameter.",high
,,Used as a fixed date in a date alignment calculation (clmn1_ in Q1).,,high,,20,2104a3f5-9424-4087-a928-e67fecae789a,hardcoded_date,,,2025-06-23,2025-06-23 04:08:01.229999+00,"Replace with a dynamic date, potentially `CURRENT_DATE()` or a fiscal period end date from a calendar dimension table or a parameter.",high
,,"Used as a fixed date in date calculations (clmn1_, clmn2_ in Q3).",,high,,20,2104a3f5-9424-4087-a928-e67fecae789a,hardcoded_date,,,2025-06-04,2025-06-04 07:28:59.451817+00,"Replace with a dynamic date, potentially `CURRENT_DATE()` or a fiscal period end date from a calendar dimension table or a parameter.",high
business_rules,"[""'CIRCULATION'""]","Filter on `os_level_6` to 'CIRCULATION'. While often static, it could be managed via a configuration table if business units change.",Consider a `business_unit_config` table if this filter needs to be dynamic or managed centrally.,low,low,20,2104a3f5-9424-4087-a928-e67fecae789a,hardcoded_variable,1.0,'CIRCULATION',,,,
lookup_codes,"[""'FY2025'""]",Filter on `gl_hierarchy_code` to 'FY2025'. This will make the dashboard obsolete after FY2025.,"Replace with a dynamic fiscal year derived from `CURRENT_DATE()` and the fiscal calendar, or a dashboard parameter for fiscal year selection.",high,high,20,2104a3f5-9424-4087-a928-e67fecae789a,hardcoded_variable,1.0,'FY2025',,,,
lookup_codes,"[""'Free News & Lifestyle'"", ""'Food'"", ""'Prestige'"", ""'Weekly Times'"", ""'Sunshine Coast'"", ""'Mackay'""]",Exclusions of specific publication codes/names. These are hardcoded in `WHERE` clauses and `CASE` statements.,Create a `publication_exclusion_list` table or a `publication_master` dimension with an `is_excluded` flag. Join to this table for filtering.,medium,medium,20,2104a3f5-9424-4087-a928-e67fecae789a,hardcoded_variable,6.0,"'Free News & Lifestyle', 'Food', 'Prestige', 'Weekly Times', 'Sunshine Coast', 'Mackay'",,,,
lookup_codes,"[""'All Sales Channels'""]",Filter on `os_level_7` to 'All Sales Channels'.,Manage sales channel categories in a `sales_channel_dimension` table.,low,low,20,2104a3f5-9424-4087-a928-e67fecae789a,hardcoded_variable,1.0,'All Sales Channels',,,,
lookup_codes,"[""'CP'"", ""'PY'""]",Filter on `period_name` in `v_asl_DIM_period_control`.,"These seem to be standard fiscal period types, but if they are subject to change or new types are introduced, a `period_type_dimension` table would be beneficial.",low,low,20,2104a3f5-9424-4087-a928-e67fecae789a,hardcoded_variable,2.0,"'CP', 'PY'",,,,
categories,"[""'NT News'"", ""'Sunday Territorian'"", ""'The Daily Telegraph'"", ""'Herald Sun'"", ""'Mercury'"", 'etc.']","Extensive `CASE` statements for categorizing `publication_name` into broader groups (e.g., 'Northern Territory', 'The Daily Telegraph', 'Others', '6 Day Pubs').","These categorizations should be defined in the `v_asl_DIM_os_publication_hierachy` table itself or a separate `publication_grouping_dimension` table. This avoids complex, hardcoded `CASE` logic in queries.",high,high,20,2104a3f5-9424-4087-a928-e67fecae789a,hardcoded_variable,6.0,"'NT News', 'Sunday Territorian', 'The Daily Telegraph', 'Herald Sun', 'Mercury', etc.",,,,
categories,"[""'M-F'"", ""'SAT'"", ""'Sun'"", ""'Mon'"", ""'Tue'"", ""'Wed'"", ""'Thu'"", ""'Fri'"", ""'Weekday Entry'""]",Categorization of `day_of_week`.,"The `v_asl_DIM_calendar` table should ideally contain these categorizations as columns (e.g., `is_weekday`, `is_weekend`, `day_type_category`).",low,low,20,2104a3f5-9424-4087-a928-e67fecae789a,hardcoded_variable,9.0,"'M-F', 'SAT', 'Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Weekday Entry'",,,,
thresholds,"['2', '5', '6', '7', '48', '2025']","Numeric literals used in complex volume calculations (e.g., `SAFE_DIVIDE(volume, 6)` for 6-day pubs, `(2025*100)+clmn38_`, `(clmn38_*2)*5`). The '2' in `CASE WHEN ('2' = '1') THEN clmn0_ WHEN ('2' = '2') THEN clmn51_ WHEN ('2' = '3') THEN clmn4_ ELSE 0 END` is particularly problematic as it hardcodes the selection of `Forecast_Volume`.","These calculation factors and selection logic should be externalized. The '2' for selecting Forecast_Volume should be a parameter or a dynamic lookup based on a 'current scenario' setting. Calculation factors (6, 7, 2, 5) could be in a `calculation_factors_config` table.",high,high,20,2104a3f5-9424-4087-a928-e67fecae789a,hardcoded_variable,6.0,"2, 5, 6, 7, 48, 2025",,,,
,,Used as a filter for financial_year in revenue calculation (Query 1).,,high,,21,77c68c35-20ce-477a-b216-0c781d43a8ca,hardcoded_date,,,2025,'2025',"Replace with a Looker Studio date parameter (e.g., @DS_FINANCIAL_YEAR) or a relative date function (e.g., EXTRACT(YEAR FROM CURRENT_DATE())).",high
,,Used as a filter for fiscal_week_id in operating statement calculation (Query 2).,,high,,21,77c68c35-20ce-477a-b216-0c781d43a8ca,hardcoded_date,,,"202548, 202549, 202550, 202551","('202548', '202549', '202550', '202551')","Replace with a Looker Studio date range parameter that can derive fiscal weeks, or a dynamic calculation based on CURRENT_DATE().",high
business_rules,"[""'Booked'"", ""'Billed'""]",Revenue transaction statuses used as a filter (Query 1).,"Use a governed reference table for transaction statuses, or a Looker Studio parameter for user selection.",medium,medium,21,77c68c35-20ce-477a-b216-0c781d43a8ca,hardcoded_variable,2.0,"'Booked', 'Billed'",,,,
business_rules,"[""'Medium Rare Content Agency'""]",Source publishing division excluded from revenue calculation (Query 1).,Manage exclusions in a configuration table or allow parameterization for flexibility.,medium,medium,21,77c68c35-20ce-477a-b216-0c781d43a8ca,hardcoded_variable,1.0,'Medium Rare Content Agency',,,,
lookup_codes,"[""'-1'""]","Invoice number filter (Query 1). This value likely represents a specific type of transaction (e.g., internal, placeholder).","Document the meaning of '-1' in a data dictionary. If it's a type, use a descriptive code from a reference table.",medium,medium,21,77c68c35-20ce-477a-b216-0c781d43a8ca,hardcoded_variable,1.0,'-1',,,,
lookup_codes,"[""'PLUTO'"", ""'CPQ'"", ""'ADPT'""]",Source system codes used as a filter (Query 1).,"Use a governed reference table for source system codes, or a Looker Studio parameter for user selection.",medium,medium,21,77c68c35-20ce-477a-b216-0c781d43a8ca,hardcoded_variable,3.0,"'PLUTO', 'CPQ', 'ADPT'",,,,
lookup_codes,"[""'9707'"", ""'9655'"", ""'9658'""]",Unified publication GL codes used as a filter (Query 3).,"Use a governed reference table for GL codes, or a Looker Studio parameter for user selection.",medium,medium,21,77c68c35-20ce-477a-b216-0c781d43a8ca,hardcoded_variable,3.0,"'9707', '9655', '9658'",,,,
,,Used as a fixed date filter for movement_date in Query 1.,,high,,22,a1b901e6-c4fb-44bc-955a-3d7070c15829,hardcoded_date,,,2025-05-29,DATE '2025-05-29',"Replace with a dashboard date parameter or relative date function (e.g., CURRENT_DATE()).",high
,,Used as a fixed date filter for movement_date in Query 2.,,high,,22,a1b901e6-c4fb-44bc-955a-3d7070c15829,hardcoded_date,,,2025-06-23,DATE '2025-06-23',"Replace with a dashboard date parameter or relative date function (e.g., CURRENT_DATE()).",high
lookup_codes,"[""'2025'""]",Financial year filter in all queries.,"Use a parameter for financial year or derive dynamically (e.g., EXTRACT(YEAR FROM CURRENT_DATE())).",high,high,22,a1b901e6-c4fb-44bc-955a-3d7070c15829,hardcoded_variable,1.0,'2025',,,,
categories,"[""'CONSORTIUM SA'"", ""'DIRECT SA WA'"", ""'CONSORTIUM NSW'"", ""'QLD IA C2'""]",Filters on portfolio_parent_group_name_sync and portfolio_conformed_name_sync.,"Manage these values in a governed reference table (e.g., `dim_portfolio_groups`) and join to it.",medium,medium,22,a1b901e6-c4fb-44bc-955a-3d7070c15829,hardcoded_variable,4.0,"'CONSORTIUM SA', 'DIRECT SA WA', 'CONSORTIUM NSW', 'QLD IA C2'",,,,
business_rules,"[""'Y'"", ""'DIGITAL'"", ""'PRINT'"", ""'PRO'"", ""'SUNDRY'"", ""'DIGITAL OTHER'""]","Values used in CASE statements for 'Revenue Category' derivation and direct filters on `xtend_flag`, `revenue_type`, `revenue_sub_type`.","Define these business rules and categories in a configuration table or a dedicated business logic layer, rather than hardcoding in SQL.",high,high,22,a1b901e6-c4fb-44bc-955a-3d7070c15829,hardcoded_variable,6.0,"'Y', 'DIGITAL', 'PRINT', 'PRO', 'SUNDRY', 'DIGITAL OTHER'",,,,
data_quality_handling,"[""'Nah'""]",Replacement for NULL `advertiser_group` values.,"Standardize NULL handling across the organization, potentially mapping to a generic 'Unknown' value from a reference table.",low,low,22,a1b901e6-c4fb-44bc-955a-3d7070c15829,hardcoded_variable,1.0,'Nah',,,,
,,Used as an anchor date for current FY calculations and previous FY comparisons (via -365 days). This date is fixed and will not update automatically.,,high,,24,4d8074b2-17a8-48ba-babe-c536359b1f64,hardcoded_date,,,2025-01-06,"DATE(TIMESTAMP '2025-01-06 23:58:33.668651+00', 'Australia/Sydney')",Replace with CURRENT_DATE() or a dashboard parameter for the 'as-of' date.,high
lookup_codes,"[""'DOUBLECLICK'"", ""'N'"", ""'DIGITAL'"", ""'Digital Other'"", ""'Y'""]","These string literals are used to filter or categorize data based on specific business rules (e.g., advertiser type, future flag, revenue type, sales segment, XTEND flag).","Create and join to a small reference table for these categories, or define them as dashboard parameters/variables.",medium,medium,24,4d8074b2-17a8-48ba-babe-c536359b1f64,hardcoded_variable,5.0,"'DOUBLECLICK', 'N', 'DIGITAL', 'Digital Other', 'Y'",,,,
business_rules,"['0', '-1', '1']","Numeric values representing relative financial year/week offsets (current, previous, next).","While these are common offsets, consider defining them as named constants or parameters if the definition of 'current', 'previous', 'next' might change or need flexibility.",low,low,24,4d8074b2-17a8-48ba-babe-c536359b1f64,hardcoded_variable,3.0,"0, -1, 1",,,,
categories,"[""'Jul'"", ""'Aug'"", ""'Sep'"", ""'Oct'"", ""'Nov'"", ""'Dec'"", ""'Jan'"", ""'Feb'"", ""'Mar'"", ""'Apr'"", ""'May'"", ""'Jun'""]","Month names used in a CASE statement to create a sorted month dimension ('1.Jul', '2.Aug', etc.).","Implement a proper date dimension table that includes financial month names and their sort keys, then join to it. This avoids hardcoding and allows for flexible financial year starts.",medium,medium,24,4d8074b2-17a8-48ba-babe-c536359b1f64,hardcoded_variable,12.0,"'Jul', 'Aug', 'Sep', 'Oct', 'Nov', 'Dec', 'Jan', 'Feb', 'Mar', 'Apr', 'May', 'Jun'",,,,
categories,"[""'2024'"", ""'2025'""]",financial years used in WHERE clause,parameterize or derive from a date dimension table,high,high,25,61f1feb4-fc3e-4bee-b987-84c86cfe6425,hardcoded_variable,2.0,"'2024', '2025'",,,,
categories,"[""'DIGITAL'"", ""'PROGRAMMATIC EXCHANGE'"", ""'PROGRAMMATIC SOURCE'""]",revenue group subtypes used in WHERE clause,join to a `dim_revenue_subtype` lookup table,medium,medium,25,61f1feb4-fc3e-4bee-b987-84c86cfe6425,hardcoded_variable,3.0,"'DIGITAL', 'PROGRAMMATIC EXCHANGE', 'PROGRAMMATIC SOURCE'",,,,
business_rules,"[""'Y'"", ""'XTEND'"", ""'DIGITAL'"", ""'PRINT'""]",logic for `revenue_type_adjusted_for_xtend` and `revenue_group_category`,externalize logic into a governed view or configuration table,high,high,25,61f1feb4-fc3e-4bee-b987-84c86cfe6425,hardcoded_variable,4.0,"'Y', 'XTEND', 'DIGITAL', 'PRINT'",,,,
categories,"[""'digital'""]",filter value for `revenue_group_category`,use a parameter or join to a `dim_revenue_category` lookup table,medium,medium,25,61f1feb4-fc3e-4bee-b987-84c86cfe6425,hardcoded_variable,1.0,'digital',,,,
business_rules,"[""'FY2025'""]",Fiscal year filter applied to gl_hierarchy_code.,Replace with a dynamic fiscal year parameter or derive from a period control table based on current date.,high,high,26,b1c5901f-a535-42eb-870d-05cc025f7c27,hardcoded_variable,1.0,'FY2025',,,,
business_rules,['40'],Fiscal week filter applied to fy_week_of_year.,Replace with a dynamic fiscal week parameter or derive from a period control table based on current date.,high,high,26,b1c5901f-a535-42eb-870d-05cc025f7c27,hardcoded_variable,1.0,40,,,,
lookup_codes,"[""'Total Revenue'"", ""'Total Expenses'""]",OS Level 4 categories filtered.,Join to a `dim_os_level_4` lookup table or use a parameter for category selection.,medium,medium,26,b1c5901f-a535-42eb-870d-05cc025f7c27,hardcoded_variable,2.0,"'Total Revenue', 'Total Expenses'",,,,
lookup_codes,"[""'News Media Publishing'""]",L03 Publication Code filtered.,Join to a `dim_publication_hierarchy` table and filter by publication key.,medium,medium,26,b1c5901f-a535-42eb-870d-05cc025f7c27,hardcoded_variable,1.0,'News Media Publishing',,,,
lookup_codes,"[""'Circulation'"", ""'Subscription'"", ""'Content Licensing'""]",OS Level 6 categories filtered.,Join to a `dim_os_level_6` lookup table or use a parameter for category selection.,medium,medium,26,b1c5901f-a535-42eb-870d-05cc025f7c27,hardcoded_variable,3.0,"'Circulation', 'Subscription', 'Content Licensing'",,,,
lookup_codes,"[""'CP'"", ""'PY'""]",Period names used in `v_asl_DIM_period_control` join.,"These are likely standard, but if period definitions change, they should be managed via a configuration table.",low,low,26,b1c5901f-a535-42eb-870d-05cc025f7c27,hardcoded_variable,2.0,"'CP', 'PY'",,,,
,,used as a specific filter for 'Month Start Date',,high,,27,87651b69-c43e-471f-9c4b-98df1208a844,hardcoded_date,,,2025-06-01,DATE '2025-06-01',"replace with a Looker Studio date parameter or relative date function (e.g., CURRENT_DATE())",high
