domain_metric_id,metric_name,metric_type,business_description,governed_sql_core,business_domain
do_dash_news_data_freshness_status,NewsCycle Data Freshness Status,dashboard_specialized_metric,"Indicates the freshness status of NewsCycle data. 'Success' if the 'Data Freshness in Minutes' for NewsCycle data is within 24 hours (1440 minutes) of the current timestamp, 'Need a check' otherwise. This metric is crucial for monitoring the timeliness of data ingestion and processing for a specific data source.","CASE WHEN MAX(TIMESTAMP_DIFF(current_timestamp(), TIMESTAMP_MILLIS(last_modified_time), minute)) > 1440 THEN 'Need a check' ELSE 'Success' END",Data Operations
do_dash_medallia_table_health_rate,Medallia Monitored Tables - Success/Ignored Rate,dashboard_specialized_metric,"Calculates the percentage of Medallia monitored tables that have a success (alert_status_final = 0) or ignored (alert_status_final = -1) alert status, out of the total monitored tables. This provides a direct health indicator for data pipelines related to Medallia tables, where a higher percentage signifies better operational health.","CAST(COUNT(DISTINCT CASE WHEN (alert_status_final IN (0, -1)) THEN table_id ELSE NULL END) AS FLOAT) / COUNT(DISTINCT table_id)",Data Operations
max_jira_ticket_age,Maximum Jira Ticket Age,domain_core_metric,"The maximum age observed among all Jira tickets, typically measured in days or hours. This metric highlights potential bottlenecks or long-standing issues requiring immediate attention within project workflows.",MAX(new_jira_age),project_management
unique_jira_ticket_count,Unique Jira Ticket Count,domain_core_metric,"The total count of distinct Jira tickets. This foundational metric serves as the basis for various analyses, allowing for segmentation by status, type, assignee, project, or other relevant dimensions to understand workload and scope.",COUNT(DISTINCT jira_key),project_management
content_reference_id,Content Reference ID,domain_core_metric,"A unique identifier for a specific content reference entry within the system, typically linking content to a particular collection or context. This serves as a fundamental key for understanding content relationships and contexts.",t0_contentreferences.id,Media & Content
ingest_date_adjusted,Ingest Date (Adjusted),dashboard_specialized_metric,"The date when content was initially ingested into the data warehouse, specifically adjusted by adding 10 hours. This adjustment aligns the ingest time with a particular business day definition or timezone offset, making it suitable for specific reporting dashboards that require this temporal alignment.","SAFE_CAST(DATETIME_ADD(DATETIME_TRUNC(SAFE_CAST(t0.dw_src_ingest_time AS DATETIME), SECOND), INTERVAL 10 HOUR) AS DATE)",Media & Content
content_id,Content ID,domain_core_metric,A unique identifier for the core content asset itself. This represents the primary key for content records and is a foundational identifier for all content-related analyses and reporting.,t0.content_id,Media & Content
audience_total_current,Total Audience (Current Period),domain_core_metric,"The aggregated total audience count for the current reporting period, representing the sum of individual audience values from the 'Audience' field. This is a fundamental, atomic measure.",SUM(SAFE_CAST(t0.Audience AS FLOAT64)),Market Research / Audience Analytics
audience_total_previous,Total Audience (Previous Period),domain_core_metric,"The aggregated total audience count for the previous reporting period, representing the sum of individual audience values from the 'Audience_Previous_Month' field. This is a fundamental, atomic measure for historical context.",SUM(SAFE_CAST(t0.Audience_Previous_Month AS FLOAT64)),Market Research / Audience Analytics
audience_mom_pct_change,Audience Month-over-Month Percentage Change,dashboard_specialized_metric,"The sum of individual percentage changes in audience from the previous month to the current month. This is calculated by taking the difference between current and previous audience, dividing by previous audience, and then summing these per-record results.","SUM(SAFE_DIVIDE((SAFE_CAST(t0.Audience AS FLOAT64) - SAFE_CAST(t0.Audience_Previous_Month AS FLOAT64)), SAFE_CAST(t0.Audience_Previous_Month AS FLOAT64)))",Market Research / Audience Analytics
audience_mom_abs_change,Audience Month-over-Month Absolute Change,dashboard_specialized_metric,"The sum of individual absolute changes in audience from the previous month to the current month. This is calculated by taking the difference between current and previous audience for each record, and then summing these per-record results.",SUM((SAFE_CAST(t0.Audience AS FLOAT64) - SAFE_CAST(t0.Audience_Previous_Month AS FLOAT64))),Market Research / Audience Analytics
total_article_views,Total Article Views,domain_core_metric,The total number of views recorded for articles within the reporting period. This metric quantifies user engagement with article content.,SUM(fact_article_views.view_count),customer_analytics
total_logins,Total Logins,domain_core_metric,The cumulative count of successful user login events. This indicates user activity and access to authenticated features.,SUM(fact_login_events.login_count),customer_analytics
total_page_views,Total Page Views,domain_core_metric,The aggregate number of page views across all content and sections of the platform. This is a general measure of content consumption.,SUM(fact_page_views.page_view_count),customer_analytics
total_c_score_target,Total C-Score Target,domain_core_metric,Represents the aggregated sum of all C-Score targets for the reporting period. This metric is fundamental for assessing overall target achievement and performance against set goals.,SUM(fact_c_score_targets.target_value),customer_analytics
total_monthly_devices,Total Monthly Devices,domain_core_metric,The sum of unique devices reported on a monthly basis. This provides an aggregated view of device usage trends over time.,SUM(fact_monthly_device_summary.unique_device_count),customer_analytics
max_six_month_device_count,Max Devices (Last 6 Months),dashboard_specialized_metric,The peak number of unique devices observed accessing the platform within any given period over the last six months. This highlights maximum concurrent or unique device usage.,MAX(fact_device_period_summary.six_month_unique_device_count),customer_analytics
total_page_bounces,Total Page Bounces,domain_core_metric,"The cumulative count of all recorded page bounces, where a bounce typically signifies a single-page visit or a session ending without further interaction.",SUM(pagebounce),Media/Engagement
unique_visits,Unique Visits,domain_core_metric,"The count of distinct visit identifiers, representing unique user sessions or interactions within a defined timeframe.",COUNT(DISTINCT visit_id),Media/Engagement
total_seconds_spent,Total Seconds Spent,domain_core_metric,"The cumulative sum of time, in seconds, that users have actively spent across all recorded interactions or sessions.",SUM(SecondsSpent),Media/Engagement
unique_user_ids,Unique User IDs,domain_core_metric,"The count of distinct user identifiers, representing the total number of unique users interacting with the system.",COUNT(DISTINCT ub_id),Media/Engagement
total_records,Total Records,domain_core_metric,"The total count of all individual records or events captured in the underlying dataset, serving as a fundamental volume metric.",COUNT(1),Media/Engagement
core_unique_count,Core Unique Count,domain_core_metric,"A foundational metric for counting the number of distinct occurrences of a specified identifier within a dataset. This serves as a building block for measuring unique entities such as users, orders, or sessions. When instantiated, the specific identifier field (e.g., 'user_id', 'order_id') must be provided to replace '{{identifier_field}}'.",COUNT(DISTINCT {{identifier_field}}),media/publishing
core_sum_of_quantity,Core Sum of Quantity,domain_core_metric,"A foundational metric for aggregating numerical values. This is used to calculate totals for quantities such as movements, sends, clicks, or target values. When instantiated, the specific quantity field (e.g., 'total_send', 'subscription_movement_count') must be provided to replace '{{quantity_field}}'.",SUM({{quantity_field}}),media/publishing
core_record_count,Core Record Count,domain_core_metric,"A foundational metric for counting the total number of records or rows in a dataset, without considering distinctness or specific field values. This is used to determine the overall volume of entities like articles or events. Filtering and specific business logic can be applied at the query or dashboard level, making this a highly reusable base count.",COUNT(1),media/publishing
total_c_score_target,Total C-Score Target,domain_core_metric,Represents the sum of all C-Score targets. The C-Score target is a key performance indicator (KPI) used to measure the desired achievement level for a specific objective or campaign within the Verity 2.0 system. This metric provides an aggregate view of the overall target set.,SUM(t0.c_score_target),business_performance
total_newsletter_sends_count,Total Newsletter Sends,dashboard_specialized_metric,"Represents the total count of newsletters successfully sent to recipients. This metric tracks the volume of outbound email communications and is a specialized view of the 'Total Email Sends' core metric, typically filtered by campaign type at the dashboard level.",SUM(total_send),Marketing
total_sms_sent_count,Total SMS Sent,domain_core_metric,Represents the total count of SMS messages successfully sent. This is the foundational metric for outbound SMS volume.,SUM(sent),Marketing
total_sends,Total Email Sends,domain_core_metric,"Represents the total number of emails sent across all EDM campaigns (e.g., Lapse, Newspass, Winback, Cancel). This is the foundational metric for outbound email volume. Filtering or grouping by 'EDM Type' can be applied at the consumption layer.",SUM(total_send),Marketing
total_clicks,Total Email Clicks,domain_core_metric,Represents the total number of clicks recorded across all email marketing campaigns. Filtering or grouping by 'EDM Type' can be applied at the consumption layer.,SUM(total_click),Marketing
unique_opens,Unique Email Opens,domain_core_metric,Represents the total number of unique email opens across all email marketing campaigns. Filtering or grouping by 'EDM Type' can be applied at the consumption layer.,SUM(unique_open),Marketing
metric_consolidated_001,Active Subscribers (Last 28 Days),domain_core_metric,Counts the number of unique subscribers who have shown activity within the last 28 days. Activity is determined by 'subscriber_last_28_days_active_days_count' being greater than zero.,SUM(CASE WHEN subscriber_last_28_days_active_days_count > 0 THEN 1 ELSE 0 END),Marketing
metric_consolidated_002,Total Subscriber Count,domain_core_metric,Represents the total number of subscribers. This is a foundational count of the overall subscriber base.,SUM(subscriber_count),Marketing
metric_consolidated_003,Total Subscription Acquisitions,domain_core_metric,Represents the total number of new subscription acquisitions. This is a foundational count for new customer growth.,SUM(subscription_acquisition_count),Marketing
news_subscription_date,Subscription Date,domain_core_metric,"The specific calendar date on which a subscription was initiated or recorded. This metric serves as a primary time dimension for analyzing subscription trends, providing a foundational date attribute for all subscription-related analytics.","SAFE_CAST(DATETIME_TRUNC(SAFE_CAST(t0.SubscriptionDateTime AS DATETIME), SECOND) AS DATE)",news
news_total_unique_subscriptions,Total Unique Subscriptions,domain_core_metric,"The count of distinct subscriptions recorded. This metric is crucial for understanding the total reach or volume of subscriptions, serving as a fundamental measure of subscriber base size.",COUNT(DISTINCT t0.SubscriptionID),news
total_density,Total Density,domain_core_metric,"Calculates the sum of density for a given Core Web Vital (e.g., LCP, INP, CLS), performance category (Good, Needs Improvement, Poor), and site type (e.g., News, E-commerce, All). This metric serves as a foundational measure for understanding the distribution of user experiences across different segments and is designed to be filtered by these dimensions in a dashboard or reporting tool.",SUM(web_performance_data.density),Web Performance Analytics
sales_total_daily_target,Total Daily Sales Target,domain_core_metric,"The authoritative sum of all daily sales targets, aggregated across relevant sales sections or teams, representing the total sales goal for a specified period or scope. This metric is fundamental for sales performance tracking and goal attainment analysis.",SUM(day_target_by_section_team),Sales
sales_dataset_row_count,Sales Dataset Row Count,dashboard_specialized_metric,"A technical count representing the total number of raw records or rows within a specific sales dataset or context. Primarily used for data quality validation, data volume monitoring, or as a base for other calculations, rather than a direct sales performance indicator.",COUNT(1),Sales
media_total_listens,Total Listens,domain_core_metric,"The total cumulative count of all listening events recorded, quantifying the raw volume of content consumption across all content types and platforms.",SUM(listens),media_analytics
media_unique_articles_listened,Unique Articles Listened To,domain_core_metric,"The count of distinct articles that have received at least one listen, indicating the breadth of content engagement and reach across the article catalog.",COUNT(DISTINCT source_article_id),media_analytics
media_total_unique_listeners,Total Unique Listeners,domain_core_metric,"The total count of unique listeners across all content and publication groups. This metric serves as the foundational measure for audience size, allowing for segmentation via dashboard filters.",SUM(unique_listeners),media_analytics
media_total_c_score_target,Total C-Score Target,domain_core_metric,The aggregated sum of 'c_score_target' values. This metric indicates the total target score or a cumulative performance goal across relevant entities or periods within the newsroom context.,SUM(c_score_target),media_analytics
media_total_record_count,Total Record Count,domain_core_metric,"A fundamental metric that counts the total number of records or rows within a given dataset or context. This serves as a base for any simple row count, with specific business contexts applied via filters.",COUNT(1),media_analytics
media_total_generic_value,Total Generic Value,domain_core_metric,"Represents the sum of a core numerical value, often used for financial amounts, scores, or other quantifiable attributes where the specific column name is 'value'. This value can be segmented by various attributes.",SUM(value),media_analytics
media_total_audience_current_period,Total Audience (Current Period),domain_core_metric,"The sum of audience for the current reporting period. Time period and filters are applied at the query or dashboard filter level, not hardcoded into the metric definition.",SUM(SAFE_CAST(Audience AS FLOAT64)),media_analytics
media_total_audience_previous_period,Total Audience (Previous Period),domain_core_metric,The sum of audience for the previous reporting period. This metric provides the base value for period-over-period comparisons.,SUM(SAFE_CAST(Audience_Previous_Month AS FLOAT64)),media_analytics
media_total_daily_website_target,Total Daily Website Target,domain_core_metric,"The aggregated sum of daily website targets. This metric is vital for monitoring overall daily performance goals related to website traffic, engagement, or other website-specific KPIs.",SUM(day_target_website),media_analytics
media_audience_pop_percentage_change,Audience Period-over-Period Percentage Change,dashboard_specialized_metric,The percentage change in total audience from the previous reporting period to the current reporting period. Calculated as ((SUM(Current Audience) - SUM(Previous Audience)) / SUM(Previous Audience)). This ensures an accurate aggregate percentage change for dashboard display.,"SAFE_DIVIDE((SUM(SAFE_CAST(Audience AS FLOAT64)) - SUM(SAFE_CAST(Audience_Previous_Month AS FLOAT64))), SUM(SAFE_CAST(Audience_Previous_Month AS FLOAT64)))",media_analytics
dop-metric-critical-jobs-count-a1b2c3d4,Count of Critical Jobs,domain_core_metric,"Represents the total count of critical jobs within the data operations ecosystem. A job is classified as 'critical' based on predefined criteria (e.g., impact level, SLA, or specific configuration). This foundational metric serves as a base for monitoring system health and can be further analyzed by various dimensions such as source system, job type, or time period.",COUNT(CASE WHEN job_status = 'CRITICAL' THEN 1 ELSE NULL END),data_operations
core_record_count,Core Record Count,domain_core_metric,"Represents the fundamental count of records or events within a given dataset or context. This foundational metric is used for volume analysis across various operational systems, such as counting rows in user test data (e.g., Verity User Test Rows) or events in web analytics (e.g., GA4 Intraday Events). It serves as the basis for more specialized counts by applying specific filters or contexts.",COUNT(1),internal operations / analytics
redemption_records_count_total,Total Redemption Records Count,domain_core_metric,"Represents the total number of individual redemption records. This metric provides a foundational count of all redemption events, irrespective of specific offers or detailed attributes, serving as the base for all redemption record counts.",COUNT(1),Customer Loyalty
